workload,parlay_threads,round,work,frontier,next,consolidate_ms,frontier_ms,semisort_ms,keyed_ms,group_by_ms,per_group_ms
small,1,0,1720,17118,8263,0.667,0.099,5.344,0.556,1.827,0.803
small,1,1,8263,0,0,1.515,0.243,0.000,,,
small,1,0,1720,17118,8263,0.285,0.084,3.509,0.059,0.926,0.734
small,1,1,8263,0,0,1.371,0.242,0.000,,,
small,1,0,1720,17118,8263,0.286,0.045,3.460,0.058,0.923,0.708
small,1,1,8263,0,0,1.377,0.225,0.000,,,
small,1,0,1720,17118,8263,0.282,0.045,3.451,0.058,0.930,0.706
small,1,1,8263,0,0,1.370,0.223,0.000,,,
small,1,0,1720,17118,8263,0.284,0.045,3.441,0.057,0.909,0.700
small,1,1,8263,0,0,1.378,0.226,0.000,,,
small,1,0,1720,17118,8263,0.284,0.045,3.436,0.057,0.910,0.702
small,1,1,8263,0,0,1.371,0.225,0.000,,,
medium,1,0,17367,347448,167261,3.358,1.031,115.912,9.655,37.834,13.857
medium,1,1,167261,0,0,27.190,4.192,0.000,,,
medium,1,0,17367,347448,167261,3.325,0.973,101.072,2.659,27.538,13.592
medium,1,1,167261,0,0,26.504,4.282,0.000,,,
medium,1,0,17367,347448,167261,3.272,1.017,106.394,2.649,32.213,14.131
medium,1,1,167261,0,0,26.913,4.166,0.000,,,
medium,1,0,17367,347448,167261,3.314,1.005,105.444,2.677,29.727,14.096
medium,1,1,167261,0,0,26.692,4.151,0.000,,,
medium,1,0,17367,347448,167261,3.340,0.984,107.239,2.665,31.186,15.317
medium,1,1,167261,0,0,27.167,4.238,0.000,,,
medium,1,0,17367,347448,167261,3.347,1.037,105.349,2.667,29.963,14.167
medium,1,1,167261,0,0,27.753,4.296,0.000,,,
large,1,0,86518,1730227,796076,24.356,8.336,837.921,50.497,186.089,103.357
large,1,1,796076,0,0,121.856,22.157,0.000,,,
large,1,0,86518,1730227,796076,24.413,5.906,930.748,15.236,303.260,102.957
large,1,1,796076,0,0,121.229,23.000,0.000,,,
large,1,0,86518,1730227,796076,24.508,5.871,947.514,15.211,318.932,104.923
large,1,1,796076,0,0,123.380,22.865,0.000,,,
large,1,0,86518,1730227,796076,24.834,5.919,950.428,15.228,318.473,106.610
