[synthetic_bench] cube n=125 d=2 classes=7812748 merges=125 ...
[pe] round=  0 work=      250 frontier= 11718750 next=  3906250 consolidate=  8.643ms frontier=  6.491ms semisort=343.930ms (keyed=27.574ms group_by=258.030ms per_group=19.266ms)
[pe] round=  1 work=  3906250 frontier=  3906250 next=  1809098 consolidate= 52.832ms frontier= 19.194ms semisort=113.113ms (keyed= 9.669ms group_by= 70.191ms per_group= 8.724ms)
[pe] round=  2 work=  1809098 frontier=  1809098 next=  1048576 consolidate= 30.757ms frontier= 18.064ms semisort= 38.227ms (keyed= 1.499ms group_by= 15.348ms per_group= 4.709ms)
[pe] round=  3 work=  1048576 frontier=  1048576 next=   524288 consolidate= 23.727ms frontier=  7.020ms semisort= 18.450ms (keyed= 0.551ms group_by=  6.447ms per_group= 2.227ms)
[pe] round=  4 work=   524288 frontier=   524288 next=   262144 consolidate= 13.087ms frontier=  4.793ms semisort= 14.396ms (keyed= 0.999ms group_by=  6.605ms per_group= 1.980ms)
[pe] round=  5 work=   262144 frontier=   262144 next=   131072 consolidate=  6.341ms frontier=  1.643ms semisort=  6.349ms (keyed= 0.166ms group_by=  3.394ms per_group= 0.689ms)
[pe] round=  6 work=   131072 frontier=   131072 next=    65536 consolidate=  3.046ms frontier=  0.917ms semisort=  5.959ms (keyed= 0.081ms group_by=  3.231ms per_group= 0.991ms)
[pe] round=  7 work=    65536 frontier=    65536 next=    32768 consolidate=  1.885ms frontier=  0.578ms semisort=  2.512ms (keyed= 0.047ms group_by=  1.622ms per_group= 0.237ms)
[pe] round=  8 work=    32768 frontier=    32768 next=    16384 consolidate=  0.870ms frontier=  0.363ms semisort=  1.221ms (keyed= 0.033ms group_by=  0.632ms per_group= 0.168ms)
[pe] round=  9 work=    16384 frontier=    16384 next=     8192 consolidate=  3.212ms frontier=  0.242ms semisort=  0.892ms (keyed= 0.027ms group_by=  0.501ms per_group= 0.120ms)
[pe] round= 10 work=     8192 frontier=     8192 next=     4096 consolidate=  1.607ms frontier=  0.351ms semisort=  2.022ms (keyed= 0.019ms group_by=  1.582ms per_group= 0.081ms)
[pe] round= 11 work=     4096 frontier=     4096 next=     2048 consolidate=  0.793ms frontier=  0.187ms semisort=  1.123ms (keyed= 0.023ms group_by=  0.841ms per_group= 0.068ms)
[pe] round= 12 work=     2048 frontier=     2048 next=     1024 consolidate=  0.427ms frontier=  0.119ms semisort=  0.609ms (keyed= 0.012ms group_by=  0.413ms per_group= 0.055ms)
[pe] round= 13 work=     1024 frontier=     1024 next=      512 consolidate=  0.239ms frontier=  0.084ms semisort=  0.339ms (keyed= 0.009ms group_by=  0.207ms per_group= 0.041ms)
[pe] round= 14 work=      512 frontier=      512 next=      256 consolidate=  0.155ms frontier=  0.056ms semisort=  0.209ms (keyed= 0.004ms group_by=  0.103ms per_group= 0.037ms)
