workload,parlay_threads,round,work,frontier,next,consolidate_ms,frontier_ms,semisort_ms,keyed_ms,group_by_ms,per_group_ms
small,1,0,1720,17118,7959,0.592,0.100,4.860,0.000,1.993,0.756
small,1,1,7959,0,0,1.467,0.188,0.000,,,
small,1,0,1720,17118,7959,0.295,0.047,3.971,0.000,1.458,0.665
small,1,1,7959,0,0,1.438,0.186,0.000,,,
small,1,0,1720,17118,7959,0.293,0.047,3.925,0.000,1.456,0.647
small,1,1,7959,0,0,1.423,0.189,0.000,,,
small,1,0,1720,17118,7959,0.291,0.046,3.908,0.000,1.447,0.645
small,1,1,7959,0,0,1.425,0.188,0.000,,,
small,1,0,1720,17118,7959,0.295,0.046,3.876,0.000,1.457,0.646
small,1,1,7959,0,0,1.354,0.188,0.000,,,
small,1,0,1720,17118,7959,0.296,0.046,3.901,0.000,1.471,0.666
small,1,1,7959,0,0,1.403,0.188,0.000,,,
medium,1,0,17367,347448,160295,2.730,0.771,78.784,0.000,26.776,13.226
medium,1,1,160295,0,0,23.573,3.240,0.000,,,
medium,1,0,17367,347448,160295,2.950,0.744,86.564,0.000,30.582,10.731
medium,1,1,160295,0,0,23.172,3.244,0.000,,,
medium,1,0,17367,347448,160295,2.894,0.745,86.704,0.000,30.922,10.692
medium,1,1,160295,0,0,23.205,3.235,0.000,,,
medium,1,0,17367,347448,160295,2.891,0.793,86.763,0.000,30.995,10.649
medium,1,1,160295,0,0,23.211,3.262,0.000,,,
medium,1,0,17367,347448,160295,2.892,0.747,87.009,0.000,31.131,10.698
medium,1,1,160295,0,0,23.232,3.271,0.000,,,
medium,1,0,17367,347448,160295,2.889,0.745,88.445,0.000,31.213,10.624
medium,1,1,160295,0,0,23.211,3.264,0.000,,,
large,1,0,86518,1730227,737662,23.798,5.092,582.510,0.000,145.716,68.525
large,1,1,737662,0,0,106.780,13.813,0.000,,,
large,1,0,86518,1730227,737662,25.420,4.330,603.516,0.000,174.219,64.838
large,1,1,737662,0,0,105.850,13.774,0.000,,,
large,1,0,86518,1730227,737662,25.028,4.226,611.140,0.000,176.649,69.034
large,1,1,737662,0,0,109.048,13.884,0.000,,,
large,1,0,86518,1730227,737662,24.239,4.189,614.303,0.000,179.734,64.703
large,1,1,737662,0,0,107.999,13.801,0.000,,,
large,1,0,86518,1730227,737662,24.153,4.177,618.267,0.002,179.604,67.296
large,1,1,737662,0,0,109.821,13.844,0.000,,,
large,1,0,86518,1730227,737662,24.238,4.235,613.010,0.000,181.939,64.936
large,1,1,737662,0,0,108.148,13.940,0.000,,,
deep-s,1,0,1720,5755,2393,0.238,0.034,1.003,0.000,0.465,0.180
deep-s,1,1,2393,4828,1048,0.378,0.056,1.140,0.000,0.561,0.221
deep-s,1,2,1048,2096,0,0.374,0.057,0.417,0.000,0.231,0.044
deep-s,1,0,1720,5755,2393,0.208,0.027,0.857,0.000,0.342,0.162
deep-s,1,1,2393,4828,1048,0.348,0.042,0.992,0.000,0.468,0.179
deep-s,1,2,1048,2096,0,0.384,0.056,0.399,0.000,0.212,0.045
deep-s,1,0,1720,5755,2393,0.210,0.027,0.857,0.000,0.341,0.165
deep-s,1,1,2393,4828,1048,0.354,0.043,1.032,0.000,0.477,0.189
deep-s,1,2,1048,2096,0,0.383,0.056,0.394,0.000,0.207,0.045
deep-s,1,0,1720,5755,2393,0.211,0.027,0.855,0.000,0.340,0.163
deep-s,1,1,2393,4828,1048,0.353,0.042,1.019,0.000,0.478,0.194
deep-s,1,2,1048,2096,0,0.381,0.056,0.394,0.000,0.207,0.045
deep-s,1,0,1720,5755,2393,0.211,0.027,0.858,0.000,0.342,0.164
deep-s,1,1,2393,4828,1048,0.354,0.043,1.025,0.000,0.477,0.202
deep-s,1,2,1048,2096,0,0.389,0.056,0.392,0.000,0.207,0.044
deep-s,1,0,1720,5755,2393,0.211,0.027,0.856,0.000,0.340,0.163
deep-s,1,1,2393,4828,1048,0.353,0.043,1.017,0.000,0.483,0.188
deep-s,1,2,1048,2096,0,0.383,0.056,0.394,0.000,0.207,0.045
deep-m,1,0,17367,115794,47572,2.428,0.620,26.828,0.000,11.616,3.620
deep-m,1,1,47572,95336,26271,7.464,0.932,28.237,0.000,11.981,4.735
deep-m,1,2,26271,52514,0,8.860,1.411,15.443,0.000,7.225,1.127
deep-m,1,0,17367,115794,47572,2.359,0.554,25.828,0.000,10.928,3.487
deep-m,1,1,47572,95336,26271,7.107,0.934,28.311,0.000,11.767,4.862
deep-m,1,2,26271,52514,0,10.329,1.469,16.016,0.000,7.333,1.159
deep-m,1,0,17367,115794,47572,2.328,0.556,25.943,0.000,11.131,3.534
deep-m,1,1,47572,95336,26271,7.110,0.925,27.268,0.000,11.745,4.188
deep-m,1,2,26271,52514,0,10.580,1.315,15.318,0.000,7.159,1.152
deep-m,1,0,17367,115794,47572,2.311,0.557,25.854,0.000,11.083,3.468
deep-m,1,1,47572,95336,26271,7.096,0.921,27.481,0.000,11.796,4.277
deep-m,1,2,26271,52514,0,8.842,1.320,15.437,0.000,7.137,1.144
deep-m,1,0,17367,115794,47572,2.324,0.563,28.310,0.000,12.538,3.844
deep-m,1,1,47572,95336,26271,8.362,1.025,33.773,0.000,12.736,4.728
deep-m,1,2,26271,52514,0,9.669,1.324,16.262,0.000,7.259,1.141
deep-m,1,0,17367,115794,47572,2.327,0.572,25.998,0.000,11.172,3.506
deep-m,1,1,47572,95336,26271,7.096,0.923,27.407,0.000,11.748,4.329
deep-m,1,2,26271,52514,0,8.838,1.305,15.478,0.000,7.153,1.148
deep-l,1,0,86518,576676,225233,20.812,2.747,173.064,0.000,60.043,17.384
deep-l,1,1,225233,450223,116944,47.091,4.054,199.365,0.000,81.078,29.753
deep-l,1,2,116944,233969,0,51.468,8.308,99.182,0.000,49.630,5.768
deep-l,1,0,86518,576676,225233,21.198,2.263,170.280,0.000,58.638,17.915
deep-l,1,1,225233,450223,116944,53.179,4.083,195.048,0.000,82.559,30.049
deep-l,1,2,116944,233969,0,51.781,8.264,100.197,0.000,49.821,5.339
deep-l,1,0,86518,576676,225233,20.991,2.278,177.688,0.000,62.595,18.445
deep-l,1,1,225233,450223,116944,47.964,4.055,194.539,0.000,80.981,29.617
deep-l,1,2,116944,233969,0,51.831,8.407,100.325,0.000,50.532,5.792
deep-l,1,0,86518,576676,225233,21.841,2.361,176.585,0.000,63.895,18.421
deep-l,1,1,225233,450223,116944,47.236,4.049,196.179,0.000,83.682,30.009
deep-l,1,2,116944,233969,0,52.548,8.444,101.623,0.000,50.967,5.401
deep-l,1,0,86518,576676,225233,20.910,2.354,181.662,0.000,66.140,18.459
deep-l,1,1,225233,450223,116944,47.705,4.062,211.238,0.000,89.623,33.016
deep-l,1,2,116944,233969,0,64.894,10.254,106.978,0.000,54.982,6.666
deep-l,1,0,86518,576676,225233,21.134,2.313,177.318,0.000,65.830,18.564
deep-l,1,1,225233,450223,116944,47.556,4.105,197.049,0.000,83.009,29.974
deep-l,1,2,116944,233969,0,52.351,8.543,100.047,0.000,51.158,5.368
small,2,0,1720,17118,7959,0.739,0.070,3.120,0.000,1.522,0.478
small,2,1,7959,0,0,1.053,0.143,0.000,,,
small,2,0,1720,17118,7959,0.214,0.037,2.146,0.000,0.933,0.402
small,2,1,7959,0,0,0.907,0.137,0.000,,,
small,2,0,1720,17118,7959,0.196,0.037,2.505,0.000,1.105,0.443
small,2,1,7959,0,0,1.046,0.169,0.000,,,
small,2,0,1720,17118,7959,0.203,0.043,2.441,0.000,1.065,0.449
small,2,1,7959,0,0,1.045,0.168,0.000,,,
small,2,0,1720,17118,7959,0.206,0.040,2.376,0.000,1.040,0.428
small,2,1,7959,0,0,1.017,0.168,0.000,,,
small,2,0,1720,17118,7959,0.216,0.042,2.472,0.000,1.110,0.429
small,2,1,7959,0,0,0.938,0.254,0.000,,,
medium,2,0,17367,347448,160295,2.197,0.674,51.242,0.000,17.416,8.909
medium,2,1,160295,0,0,16.740,2.448,0.000,,,
medium,2,0,17367,347448,160295,2.247,0.748,51.231,0.000,17.450,8.207
medium,2,1,160295,0,0,16.221,2.153,0.000,,,
medium,2,0,17367,347448,160295,2.177,0.731,42.720,0.000,11.333,6.681
medium,2,1,160295,0,0,13.829,2.001,0.000,,,
medium,2,0,17367,347448,160295,1.980,0.660,44.213,0.000,13.172,6.656
medium,2,1,160295,0,0,13.507,2.016,0.000,,,
medium,2,0,17367,347448,160295,2.025,0.665,41.861,0.000,11.509,6.633
medium,2,1,160295,0,0,13.336,1.985,0.000,,,
medium,2,0,17367,347448,160295,2.006,0.734,41.856,0.000,11.588,6.796
medium,2,1,160295,0,0,13.442,1.961,0.000,,,
large,2,0,86518,1730227,737662,15.637,5.045,320.111,0.000,86.785,41.844
large,2,1,737662,0,0,68.559,8.545,0.000,,,
large,2,0,86518,1730227,737662,13.459,2.600,282.971,0.000,62.272,36.220
large,2,1,737662,0,0,61.041,7.300,0.000,,,
large,2,0,86518,1730227,737662,13.700,2.522,283.627,0.000,65.045,36.365
large,2,1,737662,0,0,60.474,7.951,0.000,,,
large,2,0,86518,1730227,737662,13.732,2.437,285.410,0.000,65.597,36.330
large,2,1,737662,0,0,62.445,7.524,0.000,,,
large,2,0,86518,1730227,737662,14.322,2.529,302.534,0.000,73.369,42.220
large,2,1,737662,0,0,68.687,8.863,0.000,,,
large,2,0,86518,1730227,737662,15.383,2.876,288.523,0.000,67.150,36.448
large,2,1,737662,0,0,63.034,7.783,0.000,,,
deep-s,2,0,1720,5755,2393,0.182,0.035,0.867,0.000,0.434,0.154
deep-s,2,1,2393,4828,1048,0.336,0.055,0.864,0.000,0.464,0.163
deep-s,2,2,1048,2096,0,0.274,0.080,0.345,0.000,0.191,0.033
deep-s,2,0,1720,5755,2393,0.170,0.028,0.726,0.000,0.309,0.135
deep-s,2,1,2393,4828,1048,0.288,0.061,0.776,0.000,0.410,0.129
deep-s,2,2,1048,2096,0,0.273,0.081,0.327,0.000,0.174,0.033
deep-s,2,0,1720,5755,2393,0.171,0.028,0.730,0.000,0.304,0.143
deep-s,2,1,2393,4828,1048,0.367,0.062,0.806,0.000,0.422,0.129
deep-s,2,2,1048,2096,0,0.274,0.078,0.324,0.000,0.168,0.033
deep-s,2,0,1720,5755,2393,0.172,0.028,0.723,0.000,0.305,0.137
deep-s,2,1,2393,4828,1048,0.350,0.047,0.771,0.000,0.407,0.129
deep-s,2,2,1048,2096,0,0.273,0.081,0.322,0.000,0.168,0.033
deep-s,2,0,1720,5755,2393,0.182,0.029,0.740,0.000,0.312,0.141
deep-s,2,1,2393,4828,1048,0.303,0.045,0.788,0.000,0.417,0.132
deep-s,2,2,1048,2096,0,0.274,0.081,0.322,0.000,0.169,0.033
deep-s,2,0,1720,5755,2393,0.182,0.028,0.735,0.000,0.314,0.139
deep-s,2,1,2393,4828,1048,0.288,0.061,0.771,0.000,0.407,0.129
deep-s,2,2,1048,2096,0,0.273,0.081,0.321,0.000,0.167,0.033
deep-m,2,0,17367,115794,47572,1.727,0.530,22.142,0.000,12.215,3.069
deep-m,2,1,47572,95336,26271,4.406,0.635,20.410,0.000,10.639,3.036
deep-m,2,2,26271,52514,0,5.529,0.861,10.871,0.000,5.981,0.724
deep-m,2,0,17367,115794,47572,1.612,0.462,19.628,0.000,10.500,2.573
deep-m,2,1,47572,95336,26271,4.283,0.631,19.599,0.000,9.824,2.888
deep-m,2,2,26271,52514,0,5.102,0.820,10.613,0.000,5.932,0.657
deep-m,2,0,17367,115794,47572,1.742,0.551,19.258,0.000,10.326,2.459
deep-m,2,1,47572,95336,26271,4.291,0.592,18.647,0.000,9.497,2.702
deep-m,2,2,26271,52514,0,5.176,0.834,10.293,0.000,5.801,0.614
deep-m,2,0,17367,115794,47572,1.635,0.461,19.006,0.000,10.183,2.480
deep-m,2,1,47572,95336,26271,4.622,0.589,18.645,0.000,9.637,2.672
deep-m,2,2,26271,52514,0,5.106,0.797,10.240,0.000,5.754,0.608
deep-m,2,0,17367,115794,47572,1.712,0.465,18.928,0.000,10.170,2.320
deep-m,2,1,47572,95336,26271,4.747,0.607,18.765,0.000,9.615,2.717
deep-m,2,2,26271,52514,0,5.032,0.809,10.922,0.000,6.294,0.693
deep-m,2,0,17367,115794,47572,1.706,0.511,19.484,0.000,10.518,2.555
deep-m,2,1,47572,95336,26271,4.364,0.602,18.380,0.000,9.410,2.644
deep-m,2,2,26271,52514,0,5.464,0.813,10.297,0.000,5.866,0.615
deep-l,2,0,86518,576676,225233,13.088,1.921,79.966,0.000,21.802,10.499
deep-l,2,1,225233,450223,116944,27.473,2.336,94.105,0.000,35.714,16.264
deep-l,2,2,116944,233969,0,27.043,5.130,49.023,0.000,24.126,3.037
deep-l,2,0,86518,576676,225233,12.358,1.636,79.159,0.000,21.863,10.338
deep-l,2,1,225233,450223,116944,27.493,2.331,94.495,0.000,34.335,16.409
deep-l,2,2,116944,233969,0,27.313,5.118,47.446,0.000,22.632,3.055
deep-l,2,0,86518,576676,225233,12.531,1.412,82.505,0.000,23.470,10.386
deep-l,2,1,225233,450223,116944,27.440,2.419,93.181,0.000,34.575,16.478
deep-l,2,2,116944,233969,0,29.502,5.445,53.782,0.000,25.057,3.063
deep-l,2,0,86518,576676,225233,14.103,1.871,92.189,0.000,25.220,10.605
deep-l,2,1,225233,450223,116944,28.417,2.468,100.730,0.000,39.905,16.722
deep-l,2,2,116944,233969,0,28.373,4.843,48.773,0.000,23.212,3.022
deep-l,2,0,86518,576676,225233,12.598,1.520,82.346,0.000,24.400,10.670
deep-l,2,1,225233,450223,116944,27.761,2.428,96.121,0.000,35.468,18.179
deep-l,2,2,116944,233969,0,27.584,5.100,47.971,0.000,23.028,2.938
deep-l,2,0,86518,576676,225233,12.539,1.483,84.154,0.000,26.313,10.735
deep-l,2,1,225233,450223,116944,27.486,2.344,94.186,0.000,35.463,16.476
deep-l,2,2,116944,233969,0,27.703,4.928,48.211,0.000,23.302,2.989
small,4,0,1720,17118,7959,0.523,0.073,2.907,0.000,1.605,0.350
small,4,1,7959,0,0,0.789,0.165,0.000,,,
small,4,0,1720,17118,7959,0.253,0.042,1.872,0.000,1.031,0.296
small,4,1,7959,0,0,0.700,0.160,0.000,,,
small,4,0,1720,17118,7959,0.246,0.043,1.800,0.000,0.961,0.273
small,4,1,7959,0,0,0.693,0.161,0.000,,,
small,4,0,1720,17118,7959,0.186,0.042,1.827,0.000,0.956,0.279
small,4,1,7959,0,0,0.745,0.161,0.000,,,
small,4,0,1720,17118,7959,0.192,0.042,1.848,0.000,0.994,0.292
small,4,1,7959,0,0,0.669,0.161,0.000,,,
small,4,0,1720,17118,7959,0.197,0.041,1.969,0.000,1.019,0.279
small,4,1,7959,0,0,0.676,0.163,0.000,,,
medium,4,0,17367,347448,160295,2.777,0.775,27.391,0.000,8.858,4.756
medium,4,1,160295,0,0,8.605,1.389,0.000,,,
medium,4,0,17367,347448,160295,1.270,0.458,25.244,0.000,7.501,4.570
medium,4,1,160295,0,0,8.827,1.381,0.000,,,
medium,4,0,17367,347448,160295,1.587,0.439,24.823,0.000,7.419,4.413
medium,4,1,160295,0,0,8.649,1.375,0.000,,,
medium,4,0,17367,347448,160295,1.266,0.518,25.184,0.000,7.593,4.509
medium,4,1,160295,0,0,8.981,1.292,0.000,,,
medium,4,0,17367,347448,160295,1.517,0.757,24.367,0.000,7.287,4.101
medium,4,1,160295,0,0,8.899,1.509,0.000,,,
medium,4,0,17367,347448,160295,1.409,0.589,25.059,0.000,8.114,4.183
medium,4,1,160295,0,0,7.788,1.230,0.000,,,
large,4,0,86518,1730227,737662,10.982,3.723,178.553,0.000,42.507,29.953
large,4,1,737662,0,0,45.360,5.270,0.000,,,
large,4,0,86518,1730227,737662,9.032,1.522,172.707,0.000,35.498,31.353
large,4,1,737662,0,0,45.397,5.454,0.000,,,
large,4,0,86518,1730227,737662,9.314,1.703,175.824,0.000,37.975,28.412
large,4,1,737662,0,0,44.572,5.230,0.000,,,
large,4,0,86518,1730227,737662,9.171,1.528,172.373,0.000,38.360,27.632
large,4,1,737662,0,0,48.134,5.859,0.000,,,
large,4,0,86518,1730227,737662,11.315,1.760,230.781,0.000,51.390,37.805
large,4,1,737662,0,0,49.426,5.880,0.000,,,
large,4,0,86518,1730227,737662,9.333,1.692,173.470,0.000,41.869,28.489
large,4,1,737662,0,0,45.801,5.491,0.000,,,
deep-s,4,0,1720,5755,2393,0.221,0.036,0.967,0.000,0.545,0.151
deep-s,4,1,2393,4828,1048,0.351,0.061,0.841,0.000,0.429,0.163
deep-s,4,2,1048,2096,0,0.268,0.080,0.388,0.000,0.231,0.034
deep-s,4,0,1720,5755,2393,0.228,0.034,0.890,0.000,0.335,0.273
deep-s,4,1,2393,4828,1048,0.298,0.056,0.723,0.000,0.349,0.119
deep-s,4,2,1048,2096,0,0.261,0.089,0.315,0.000,0.167,0.041
deep-s,4,0,1720,5755,2393,0.192,0.032,0.781,0.000,0.373,0.137
deep-s,4,1,2393,4828,1048,0.268,0.073,0.713,0.000,0.333,0.115
deep-s,4,2,1048,2096,0,0.235,0.076,0.344,0.000,0.196,0.033
deep-s,4,0,1720,5755,2393,0.204,0.033,0.776,0.000,0.343,0.136
