workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,union_style,dnc_cutoff,wallclock_ms
small,1000,4,10000,2000,1,nelson_seq,0,1,dnc,16,3.6034
small,1000,4,10000,2000,1,nelson_seq,1,1,dnc,16,3.5104
small,1000,4,10000,2000,1,nelson_seq,2,1,dnc,16,3.4186
small,1000,4,10000,2000,1,nelson_seq,3,1,dnc,16,3.5695
small,1000,4,10000,2000,1,nelson_seq,4,1,dnc,16,3.3861
small,1000,4,10000,2000,1,par_close,0,1,dnc,16,6.5022
small,1000,4,10000,2000,1,par_close,1,1,dnc,16,6.4395
small,1000,4,10000,2000,1,par_close,2,1,dnc,16,6.4183
small,1000,4,10000,2000,1,par_close,3,1,dnc,16,6.3162
small,1000,4,10000,2000,1,par_close,4,1,dnc,16,6.3906
medium,10000,8,200000,20000,1,nelson_seq,0,1,dnc,16,78.6547
medium,10000,8,200000,20000,1,nelson_seq,1,1,dnc,16,80.6865
medium,10000,8,200000,20000,1,nelson_seq,2,1,dnc,16,68.3742
medium,10000,8,200000,20000,1,nelson_seq,3,1,dnc,16,66.0222
medium,10000,8,200000,20000,1,nelson_seq,4,1,dnc,16,65.2233
medium,10000,8,200000,20000,1,par_close,0,1,dnc,16,124.1933
medium,10000,8,200000,20000,1,par_close,1,1,dnc,16,124.4945
medium,10000,8,200000,20000,1,par_close,2,1,dnc,16,125.0673
medium,10000,8,200000,20000,1,par_close,3,1,dnc,16,125.2980
medium,10000,8,200000,20000,1,par_close,4,1,dnc,16,126.7385
large,50000,16,1000000,100000,1,nelson_seq,0,1,dnc,16,736.4148
large,50000,16,1000000,100000,1,nelson_seq,1,1,dnc,16,736.7520
large,50000,16,1000000,100000,1,nelson_seq,2,1,dnc,16,739.1081
large,50000,16,1000000,100000,1,nelson_seq,3,1,dnc,16,737.7406
large,50000,16,1000000,100000,1,nelson_seq,4,1,dnc,16,738.2663
large,50000,16,1000000,100000,1,par_close,0,1,dnc,16,791.7580
large,50000,16,1000000,100000,1,par_close,1,1,dnc,16,802.7356
large,50000,16,1000000,100000,1,par_close,2,1,dnc,16,806.1791
large,50000,16,1000000,100000,1,par_close,3,1,dnc,16,810.5615
large,50000,16,1000000,100000,1,par_close,4,1,dnc,16,803.8617
deep-s,1000,4,10000,2000,3,nelson_seq,0,1,dnc,16,6.4724
deep-s,1000,4,10000,2000,3,nelson_seq,1,1,dnc,16,2.1679
deep-s,1000,4,10000,2000,3,nelson_seq,2,1,dnc,16,2.0956
deep-s,1000,4,10000,2000,3,nelson_seq,3,1,dnc,16,2.4727
deep-s,1000,4,10000,2000,3,nelson_seq,4,1,dnc,16,2.1206
deep-s,1000,4,10000,2000,3,par_close,0,1,dnc,16,3.7233
deep-s,1000,4,10000,2000,3,par_close,1,1,dnc,16,3.7535
deep-s,1000,4,10000,2000,3,par_close,2,1,dnc,16,3.7317
deep-s,1000,4,10000,2000,3,par_close,3,1,dnc,16,3.7698
deep-s,1000,4,10000,2000,3,par_close,4,1,dnc,16,3.7355
deep-m,10000,8,200000,20000,3,nelson_seq,0,1,dnc,16,79.0062
deep-m,10000,8,200000,20000,3,nelson_seq,1,1,dnc,16,76.1449
deep-m,10000,8,200000,20000,3,nelson_seq,2,1,dnc,16,73.4497
deep-m,10000,8,200000,20000,3,nelson_seq,3,1,dnc,16,71.7770
deep-m,10000,8,200000,20000,3,nelson_seq,4,1,dnc,16,75.4696
deep-m,10000,8,200000,20000,3,par_close,0,1,dnc,16,98.3364
deep-m,10000,8,200000,20000,3,par_close,1,1,dnc,16,96.5729
deep-m,10000,8,200000,20000,3,par_close,2,1,dnc,16,95.0828
deep-m,10000,8,200000,20000,3,par_close,3,1,dnc,16,107.2363
deep-m,10000,8,200000,20000,3,par_close,4,1,dnc,16,95.3563
deep-l,50000,16,1000000,100000,3,nelson_seq,0,1,dnc,16,676.1908
deep-l,50000,16,1000000,100000,3,nelson_seq,1,1,dnc,16,680.1487
deep-l,50000,16,1000000,100000,3,nelson_seq,2,1,dnc,16,669.0416
deep-l,50000,16,1000000,100000,3,nelson_seq,3,1,dnc,16,675.1493
deep-l,50000,16,1000000,100000,3,nelson_seq,4,1,dnc,16,676.7057
deep-l,50000,16,1000000,100000,3,par_close,0,1,dnc,16,631.0790
deep-l,50000,16,1000000,100000,3,par_close,1,1,dnc,16,634.4184
deep-l,50000,16,1000000,100000,3,par_close,2,1,dnc,16,643.3670
deep-l,50000,16,1000000,100000,3,par_close,3,1,dnc,16,679.8251
deep-l,50000,16,1000000,100000,3,par_close,4,1,dnc,16,639.9567
small,1000,4,10000,2000,1,nelson_seq,0,2,dnc,16,2.5489
small,1000,4,10000,2000,1,nelson_seq,1,2,dnc,16,2.5844
small,1000,4,10000,2000,1,nelson_seq,2,2,dnc,16,2.5146
small,1000,4,10000,2000,1,nelson_seq,3,2,dnc,16,2.4301
small,1000,4,10000,2000,1,nelson_seq,4,2,dnc,16,2.5026
small,1000,4,10000,2000,1,par_close,0,2,dnc,16,3.8959
small,1000,4,10000,2000,1,par_close,1,2,dnc,16,4.3780
small,1000,4,10000,2000,1,par_close,2,2,dnc,16,4.3451
small,1000,4,10000,2000,1,par_close,3,2,dnc,16,4.2673
small,1000,4,10000,2000,1,par_close,4,2,dnc,16,4.4221
medium,10000,8,200000,20000,1,nelson_seq,0,2,dnc,16,69.9839
medium,10000,8,200000,20000,1,nelson_seq,1,2,dnc,16,68.0258
medium,10000,8,200000,20000,1,nelson_seq,2,2,dnc,16,67.8446
medium,10000,8,200000,20000,1,nelson_seq,3,2,dnc,16,69.8876
medium,10000,8,200000,20000,1,nelson_seq,4,2,dnc,16,75.9442
medium,10000,8,200000,20000,1,par_close,0,2,dnc,16,78.1957
medium,10000,8,200000,20000,1,par_close,1,2,dnc,16,66.0437
medium,10000,8,200000,20000,1,par_close,2,2,dnc,16,67.1001
medium,10000,8,200000,20000,1,par_close,3,2,dnc,16,64.6623
medium,10000,8,200000,20000,1,par_close,4,2,dnc,16,64.9426
large,50000,16,1000000,100000,1,nelson_seq,0,2,dnc,16,754.4125
large,50000,16,1000000,100000,1,nelson_seq,1,2,dnc,16,738.4599
large,50000,16,1000000,100000,1,nelson_seq,2,2,dnc,16,756.5527
large,50000,16,1000000,100000,1,nelson_seq,3,2,dnc,16,745.4233
large,50000,16,1000000,100000,1,nelson_seq,4,2,dnc,16,736.6466
large,50000,16,1000000,100000,1,par_close,0,2,dnc,16,388.6350
large,50000,16,1000000,100000,1,par_close,1,2,dnc,16,389.4448
large,50000,16,1000000,100000,1,par_close,2,2,dnc,16,394.1649
large,50000,16,1000000,100000,1,par_close,3,2,dnc,16,421.0516
large,50000,16,1000000,100000,1,par_close,4,2,dnc,16,401.8379
deep-s,1000,4,10000,2000,3,nelson_seq,0,2,dnc,16,2.2508
deep-s,1000,4,10000,2000,3,nelson_seq,1,2,dnc,16,2.2501
deep-s,1000,4,10000,2000,3,nelson_seq,2,2,dnc,16,2.3053
deep-s,1000,4,10000,2000,3,nelson_seq,3,2,dnc,16,2.2112
deep-s,1000,4,10000,2000,3,nelson_seq,4,2,dnc,16,2.1965
deep-s,1000,4,10000,2000,3,par_close,0,2,dnc,16,3.1628
deep-s,1000,4,10000,2000,3,par_close,1,2,dnc,16,3.2689
deep-s,1000,4,10000,2000,3,par_close,2,2,dnc,16,3.2096
deep-s,1000,4,10000,2000,3,par_close,3,2,dnc,16,3.1889
deep-s,1000,4,10000,2000,3,par_close,4,2,dnc,16,3.1678
deep-m,10000,8,200000,20000,3,nelson_seq,0,2,dnc,16,77.2037
deep-m,10000,8,200000,20000,3,nelson_seq,1,2,dnc,16,74.9726
deep-m,10000,8,200000,20000,3,nelson_seq,2,2,dnc,16,74.6410
deep-m,10000,8,200000,20000,3,nelson_seq,3,2,dnc,16,74.1994
deep-m,10000,8,200000,20000,3,nelson_seq,4,2,dnc,16,74.4119
deep-m,10000,8,200000,20000,3,par_close,0,2,dnc,16,66.5136
deep-m,10000,8,200000,20000,3,par_close,1,2,dnc,16,65.3183
deep-m,10000,8,200000,20000,3,par_close,2,2,dnc,16,64.7036
deep-m,10000,8,200000,20000,3,par_close,3,2,dnc,16,65.8050
deep-m,10000,8,200000,20000,3,par_close,4,2,dnc,16,65.6262
deep-l,50000,16,1000000,100000,3,nelson_seq,0,2,dnc,16,671.8503
deep-l,50000,16,1000000,100000,3,nelson_seq,1,2,dnc,16,676.6467
deep-l,50000,16,1000000,100000,3,nelson_seq,2,2,dnc,16,670.8942
deep-l,50000,16,1000000,100000,3,nelson_seq,3,2,dnc,16,699.7359
deep-l,50000,16,1000000,100000,3,nelson_seq,4,2,dnc,16,674.6221
deep-l,50000,16,1000000,100000,3,par_close,0,2,dnc,16,311.2933
deep-l,50000,16,1000000,100000,3,par_close,1,2,dnc,16,323.1121
deep-l,50000,16,1000000,100000,3,par_close,2,2,dnc,16,342.1675
deep-l,50000,16,1000000,100000,3,par_close,3,2,dnc,16,319.3623
deep-l,50000,16,1000000,100000,3,par_close,4,2,dnc,16,319.0374
small,1000,4,10000,2000,1,nelson_seq,0,4,dnc,16,2.6891
small,1000,4,10000,2000,1,nelson_seq,1,4,dnc,16,2.7347
small,1000,4,10000,2000,1,nelson_seq,2,4,dnc,16,2.7456
small,1000,4,10000,2000,1,nelson_seq,3,4,dnc,16,2.7696
small,1000,4,10000,2000,1,nelson_seq,4,4,dnc,16,2.7296
small,1000,4,10000,2000,1,par_close,0,4,dnc,16,3.4327
small,1000,4,10000,2000,1,par_close,1,4,dnc,16,3.3513
small,1000,4,10000,2000,1,par_close,2,4,dnc,16,3.3623
small,1000,4,10000,2000,1,par_close,3,4,dnc,16,3.3167
small,1000,4,10000,2000,1,par_close,4,4,dnc,16,3.4497
medium,10000,8,200000,20000,1,nelson_seq,0,4,dnc,16,72.4385
medium,10000,8,200000,20000,1,nelson_seq,1,4,dnc,16,69.4683
medium,10000,8,200000,20000,1,nelson_seq,2,4,dnc,16,68.9375
