file,suite,n_gates,n_literals,n_not_terms,total_classes,algorithm,trial,parlay_threads,read_s,parse_s,build_s,close_ms
h5m-n01-ands.gates,iwls22,681051,1083431,499915,2264397,nelson_simple,0,1,0.057906,0.066886,0.366729,412.7975
h5m-n01-ands.gates,iwls22,681051,1083431,499915,2264397,nelson_topo_iter,0,1,0.057906,0.066886,0.366729,1309.6694
h5m-n01-ands.gates,iwls22,681051,1083431,499915,2264397,par_close,0,1,0.057906,0.066886,0.366729,2402.3816
h5m-n01-ands.gates,iwls22,681051,1083431,499915,2264397,par_async,0,1,0.057906,0.066886,0.366729,247.9046
h5m-n01-xits.gates,iwls22,500311,613618,249946,1363875,nelson_simple,0,1,0.173480,0.050881,0.190300,266.5900
h5m-n01-xits.gates,iwls22,500311,613618,249946,1363875,nelson_topo_iter,0,1,0.173480,0.050881,0.190300,696.4415
h5m-n01-xits.gates,iwls22,500311,613618,249946,1363875,par_close,0,1,0.173480,0.050881,0.190300,1367.8392
h5m-n01-xits.gates,iwls22,500311,613618,249946,1363875,par_async,0,1,0.173480,0.050881,0.190300,204.5443
h5m-n04-ands.gates,iwls22,756314,1246980,573992,2577286,nelson_simple,0,1,0.050731,0.071852,0.424207,469.2007
h5m-n04-ands.gates,iwls22,756314,1246980,573992,2577286,nelson_topo_iter,0,1,0.050731,0.071852,0.424207,494.4623
h5m-n04-ands.gates,iwls22,756314,1246980,573992,2577286,par_close,0,1,0.050731,0.071852,0.424207,2712.1862
h5m-n04-ands.gates,iwls22,756314,1246980,573992,2577286,par_async,0,1,0.050731,0.071852,0.424207,190.4513
h5m-n04-xits.gates,iwls22,589994,707582,308278,1605854,nelson_simple,0,1,0.055286,0.056546,0.225219,326.3928
h5m-n04-xits.gates,iwls22,589994,707582,308278,1605854,nelson_topo_iter,0,1,0.055286,0.056546,0.225219,545.0509
h5m-n04-xits.gates,iwls22,589994,707582,308278,1605854,par_close,0,1,0.055286,0.056546,0.225219,1482.1527
h5m-n04-xits.gates,iwls22,589994,707582,308278,1605854,par_async,0,1,0.055286,0.056546,0.225219,202.9348
h5m-n06-ands.gates,iwls22,1938768,3206860,1500349,6645977,nelson_simple,0,1,0.108595,0.194959,1.190717,1209.1868
h5m-n06-ands.gates,iwls22,1938768,3206860,1500349,6645977,nelson_topo_iter,0,1,0.108595,0.194959,1.190717,4176.6531
h5m-n06-ands.gates,iwls22,1938768,3206860,1500349,6645977,par_close,0,1,0.108595,0.194959,1.190717,7672.1345
h5m-n06-ands.gates,iwls22,1938768,3206860,1500349,6645977,par_async,0,1,0.108595,0.194959,1.190717,700.1637
h5m-n06-xits.gates,iwls22,1444295,1735829,729369,3909493,nelson_simple,0,1,0.126070,0.143918,0.726446,828.2749
h5m-n06-xits.gates,iwls22,1444295,1735829,729369,3909493,nelson_topo_iter,0,1,0.126070,0.143918,0.726446,2510.4192
h5m-n06-xits.gates,iwls22,1444295,1735829,729369,3909493,par_close,0,1,0.126070,0.143918,0.726446,4283.5311
h5m-n06-xits.gates,iwls22,1444295,1735829,729369,3909493,par_async,0,1,0.126070,0.143918,0.726446,633.9077
h5m-test01-ands.gates,iwls22,589746,1038141,465435,2093322,nelson_simple,0,1,0.064737,0.058110,0.345094,338.8442
h5m-test01-ands.gates,iwls22,589746,1038141,465435,2093322,nelson_topo_iter,0,1,0.064737,0.058110,0.345094,1186.6233
h5m-test01-ands.gates,iwls22,589746,1038141,465435,2093322,par_close,0,1,0.064737,0.058110,0.345094,2209.2850
h5m-test01-ands.gates,iwls22,589746,1038141,465435,2093322,par_async,0,1,0.064737,0.058110,0.345094,208.3155
h5m-test01-xits.gates,iwls22,539496,589597,270675,1399768,nelson_simple,0,1,0.052130,0.054446,0.194230,268.2911
h5m-test01-xits.gates,iwls22,539496,589597,270675,1399768,nelson_topo_iter,0,1,0.052130,0.054446,0.194230,467.8176
h5m-test01-xits.gates,iwls22,539496,589597,270675,1399768,par_close,0,1,0.052130,0.054446,0.194230,1392.3246
h5m-test01-xits.gates,iwls22,539496,589597,270675,1399768,par_async,0,1,0.052130,0.054446,0.194230,176.8388
h5m-test02-ands.gates,iwls22,1478182,2446158,984808,4909148,nelson_simple,0,1,0.085950,0.144547,0.823056,787.9433
h5m-test02-ands.gates,iwls22,1478182,2446158,984808,4909148,nelson_topo_iter,0,1,0.085950,0.144547,0.823056,2938.3191
h5m-test02-ands.gates,iwls22,1478182,2446158,984808,4909148,par_close,0,1,0.085950,0.144547,0.823056,5532.2530
h5m-test02-ands.gates,iwls22,1478182,2446158,984808,4909148,par_async,0,1,0.085950,0.144547,0.823056,463.5215
h5m-test02-xits.gates,iwls22,1128078,1336652,613910,3078640,nelson_simple,0,1,0.081920,0.130311,0.534458,589.1504
h5m-test02-xits.gates,iwls22,1128078,1336652,613910,3078640,nelson_topo_iter,0,1,0.081920,0.130311,0.534458,1808.5285
h5m-test02-xits.gates,iwls22,1128078,1336652,613910,3078640,par_close,0,1,0.081920,0.130311,0.534458,3629.1315
h5m-test02-xits.gates,iwls22,1128078,1336652,613910,3078640,par_async,0,1,0.081920,0.130311,0.534458,485.2409
6s100-ands-opt.gates,hwmcc12,1609256,3020654,1304136,5934046,nelson_simple,0,1,0.140889,0.162187,1.061087,1355.0130
6s100-ands-opt.gates,hwmcc12,1609256,3020654,1304136,5934046,nelson_topo_iter,0,1,0.140889,0.162187,1.061087,9587.5709
6s100-ands-opt.gates,hwmcc12,1609256,3020654,1304136,5934046,par_close,0,1,0.140889,0.162187,1.061087,6882.7675
6s100-ands-opt.gates,hwmcc12,1609256,3020654,1304136,5934046,par_async,0,1,0.140889,0.162187,1.061087,1646.0333
6s100-xits-opt.gates,hwmcc12,1847683,2570426,835018,5253127,nelson_simple,0,1,0.145013,0.187372,0.958279,1292.4396
6s100-xits-opt.gates,hwmcc12,1847683,2570426,835018,5253127,nelson_topo_iter,0,1,0.145013,0.187372,0.958279,8327.8334
