workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,dnc_cutoff,wallclock_ms
small,1000,4,10000,2000,1,nelson_topo_iter,0,1,16,1.9413
small,1000,4,10000,2000,1,nelson_simple,0,1,16,1.3520
small,1000,4,10000,2000,1,par_close,0,1,16,4.5728
small,1000,4,10000,2000,1,par_async,0,1,16,1.1713
medium,10000,8,200000,20000,1,nelson_topo_iter,0,1,16,42.3786
medium,10000,8,200000,20000,1,nelson_simple,0,1,16,41.0047
medium,10000,8,200000,20000,1,par_close,0,1,16,119.6430
medium,10000,8,200000,20000,1,par_async,0,1,16,29.2754
large,50000,16,1000000,100000,1,nelson_topo_iter,0,1,16,331.4617
large,50000,16,1000000,100000,1,nelson_simple,0,1,16,221.5072
large,50000,16,1000000,100000,1,par_close,0,1,16,760.7520
large,50000,16,1000000,100000,1,par_async,0,1,16,153.9904
deep-s,1000,4,10000,2000,3,nelson_topo_iter,0,1,16,1.8099
deep-s,1000,4,10000,2000,3,nelson_simple,0,1,16,1.6986
deep-s,1000,4,10000,2000,3,par_close,0,1,16,3.1592
deep-s,1000,4,10000,2000,3,par_async,0,1,16,1.4196
deep-m,10000,8,200000,20000,3,nelson_topo_iter,0,1,16,46.9212
deep-m,10000,8,200000,20000,3,nelson_simple,0,1,16,58.3966
deep-m,10000,8,200000,20000,3,par_close,0,1,16,85.6725
deep-m,10000,8,200000,20000,3,par_async,0,1,16,53.5505
deep-l,50000,16,1000000,100000,3,nelson_topo_iter,0,1,16,442.0792
deep-l,50000,16,1000000,100000,3,nelson_simple,0,1,16,500.8395
deep-l,50000,16,1000000,100000,3,par_close,0,1,16,595.6197
deep-l,50000,16,1000000,100000,3,par_async,0,1,16,351.2400
small,1000,4,10000,2000,1,par_close,0,2,16,5.0115
small,1000,4,10000,2000,1,par_async,0,2,16,1.3529
small,1000,4,10000,2000,1,par_async_cont,0,2,16,1.4904
medium,10000,8,200000,20000,1,par_close,0,2,16,83.6903
medium,10000,8,200000,20000,1,par_async,0,2,16,21.3655
medium,10000,8,200000,20000,1,par_async_cont,0,2,16,30.0977
large,50000,16,1000000,100000,1,par_close,0,2,16,480.6666
large,50000,16,1000000,100000,1,par_async,0,2,16,118.4047
large,50000,16,1000000,100000,1,par_async_cont,0,2,16,161.0312
deep-s,1000,4,10000,2000,3,par_close,0,2,16,4.2448
deep-s,1000,4,10000,2000,3,par_async,0,2,16,1.8615
deep-s,1000,4,10000,2000,3,par_async_cont,0,2,16,2.1703
deep-m,10000,8,200000,20000,3,par_close,0,2,16,75.7735
deep-m,10000,8,200000,20000,3,par_async,0,2,16,37.9871
deep-m,10000,8,200000,20000,3,par_async_cont,0,2,16,79.3284
deep-l,50000,16,1000000,100000,3,par_close,0,2,16,402.4637
deep-l,50000,16,1000000,100000,3,par_async,0,2,16,227.1158
deep-l,50000,16,1000000,100000,3,par_async_cont,0,2,16,415.9043
small,1000,4,10000,2000,1,par_close,0,4,16,4.7336
small,1000,4,10000,2000,1,par_async,0,4,16,1.2977
small,1000,4,10000,2000,1,par_async_cont,0,4,16,1.3302
medium,10000,8,200000,20000,1,par_close,0,4,16,50.1535
medium,10000,8,200000,20000,1,par_async,0,4,16,14.3330
medium,10000,8,200000,20000,1,par_async_cont,0,4,16,17.4519
