workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,union_style,dnc_cutoff,wallclock_ms
16XL,50000,16,32000000,3200000,3,nelson_seq,0,1,dnc,16,66625.3665
16XL,50000,16,32000000,3200000,3,nelson_seq,1,1,dnc,16,66481.2507
16XL,50000,16,32000000,3200000,3,nelson_seq,2,1,dnc,16,67894.1854
16XL,50000,16,32000000,3200000,3,nelson_seq,3,1,dnc,16,64693.1467
16XL,50000,16,32000000,3200000,3,nelson_seq,4,1,dnc,16,67446.4280
16XL,50000,16,32000000,3200000,3,par_close,0,1,dnc,16,39188.5642
16XL,50000,16,32000000,3200000,3,par_close,1,1,dnc,16,40493.6605
16XL,50000,16,32000000,3200000,3,par_close,2,1,dnc,16,40260.8629
16XL,50000,16,32000000,3200000,3,par_close,3,1,dnc,16,40337.9216
16XL,50000,16,32000000,3200000,3,par_close,4,1,dnc,16,40445.0618
16XL,50000,16,32000000,3200000,3,par_close,0,2,dnc,16,19794.6088
16XL,50000,16,32000000,3200000,3,par_close,1,2,dnc,16,20582.1400
16XL,50000,16,32000000,3200000,3,par_close,2,2,dnc,16,20560.9257
16XL,50000,16,32000000,3200000,3,par_close,3,2,dnc,16,20582.5401
16XL,50000,16,32000000,3200000,3,par_close,4,2,dnc,16,20489.0741
16XL,50000,16,32000000,3200000,3,par_close,0,4,dnc,16,10985.4966
16XL,50000,16,32000000,3200000,3,par_close,1,4,dnc,16,11189.8146
16XL,50000,16,32000000,3200000,3,par_close,2,4,dnc,16,11176.4655
16XL,50000,16,32000000,3200000,3,par_close,3,4,dnc,16,11358.9693
16XL,50000,16,32000000,3200000,3,par_close,4,4,dnc,16,11122.0711
16XL,50000,16,32000000,3200000,3,par_close,0,8,dnc,16,5646.7535
16XL,50000,16,32000000,3200000,3,par_close,1,8,dnc,16,5683.0668
16XL,50000,16,32000000,3200000,3,par_close,2,8,dnc,16,5765.3081
16XL,50000,16,32000000,3200000,3,par_close,3,8,dnc,16,5775.4354
16XL,50000,16,32000000,3200000,3,par_close,4,8,dnc,16,5828.0480
16XL,50000,16,32000000,3200000,3,par_close,0,16,dnc,16,2911.6190
16XL,50000,16,32000000,3200000,3,par_close,1,16,dnc,16,2950.6725
16XL,50000,16,32000000,3200000,3,par_close,2,16,dnc,16,2983.6710
16XL,50000,16,32000000,3200000,3,par_close,3,16,dnc,16,2998.9761
