workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,dnc_cutoff,wallclock_ms
small,1000,4,10000,2000,1,nelson_simple_inline,0,1,16,0.5190
small,1000,4,10000,2000,1,nelson_simple_inline,1,1,16,0.5151
small,1000,4,10000,2000,1,nelson_simple_inline,2,1,16,0.5078
small,1000,4,10000,2000,1,nelson_simple_inline,3,1,16,0.5200
small,1000,4,10000,2000,1,nelson_simple_inline,4,1,16,0.5202
small,1000,4,10000,2000,1,par_parents,0,1,16,2.0748
small,1000,4,10000,2000,1,par_parents,1,1,16,2.0608
small,1000,4,10000,2000,1,par_parents,2,1,16,2.0493
small,1000,4,10000,2000,1,par_parents,3,1,16,2.0287
small,1000,4,10000,2000,1,par_parents,4,1,16,2.0306
small,1000,4,10000,2000,1,par_filter,0,1,16,0.8226
small,1000,4,10000,2000,1,par_filter,1,1,16,0.8159
small,1000,4,10000,2000,1,par_filter,2,1,16,0.8123
small,1000,4,10000,2000,1,par_filter,3,1,16,0.8080
small,1000,4,10000,2000,1,par_filter,4,1,16,0.8042
medium,10000,8,200000,20000,1,nelson_simple_inline,0,1,16,19.4217
medium,10000,8,200000,20000,1,nelson_simple_inline,1,1,16,18.6913
medium,10000,8,200000,20000,1,nelson_simple_inline,2,1,16,18.8637
medium,10000,8,200000,20000,1,nelson_simple_inline,3,1,16,18.9889
medium,10000,8,200000,20000,1,nelson_simple_inline,4,1,16,18.6156
medium,10000,8,200000,20000,1,par_parents,0,1,16,53.9227
medium,10000,8,200000,20000,1,par_parents,1,1,16,53.8995
medium,10000,8,200000,20000,1,par_parents,2,1,16,53.9438
medium,10000,8,200000,20000,1,par_parents,3,1,16,53.7459
medium,10000,8,200000,20000,1,par_parents,4,1,16,53.7933
medium,10000,8,200000,20000,1,par_filter,0,1,16,22.8469
medium,10000,8,200000,20000,1,par_filter,1,1,16,22.7615
medium,10000,8,200000,20000,1,par_filter,2,1,16,22.7965
medium,10000,8,200000,20000,1,par_filter,3,1,16,22.8296
medium,10000,8,200000,20000,1,par_filter,4,1,16,22.7923
large,50000,16,1000000,100000,1,nelson_simple_inline,0,1,16,111.7784
large,50000,16,1000000,100000,1,nelson_simple_inline,1,1,16,108.7189
large,50000,16,1000000,100000,1,nelson_simple_inline,2,1,16,107.4743
large,50000,16,1000000,100000,1,nelson_simple_inline,3,1,16,108.9309
large,50000,16,1000000,100000,1,nelson_simple_inline,4,1,16,107.7167
large,50000,16,1000000,100000,1,par_parents,0,1,16,234.1876
large,50000,16,1000000,100000,1,par_parents,1,1,16,234.7313
large,50000,16,1000000,100000,1,par_parents,2,1,16,233.6682
large,50000,16,1000000,100000,1,par_parents,3,1,16,235.2774
large,50000,16,1000000,100000,1,par_parents,4,1,16,234.0537
large,50000,16,1000000,100000,1,par_filter,0,1,16,135.0067
large,50000,16,1000000,100000,1,par_filter,1,1,16,135.0406
large,50000,16,1000000,100000,1,par_filter,2,1,16,134.8030
large,50000,16,1000000,100000,1,par_filter,3,1,16,134.8810
large,50000,16,1000000,100000,1,par_filter,4,1,16,134.6962
deep-s,1000,4,10000,2000,3,nelson_simple_inline,0,1,16,0.7711
deep-s,1000,4,10000,2000,3,nelson_simple_inline,1,1,16,0.7633
deep-s,1000,4,10000,2000,3,nelson_simple_inline,2,1,16,0.7555
deep-s,1000,4,10000,2000,3,nelson_simple_inline,3,1,16,0.7464
deep-s,1000,4,10000,2000,3,nelson_simple_inline,4,1,16,0.7442
deep-s,1000,4,10000,2000,3,par_parents,0,1,16,2.0886
deep-s,1000,4,10000,2000,3,par_parents,1,1,16,2.0655
deep-s,1000,4,10000,2000,3,par_parents,2,1,16,2.0599
deep-s,1000,4,10000,2000,3,par_parents,3,1,16,2.0563
deep-s,1000,4,10000,2000,3,par_parents,4,1,16,2.0493
deep-s,1000,4,10000,2000,3,par_filter,0,1,16,0.8980
deep-s,1000,4,10000,2000,3,par_filter,1,1,16,0.8904
deep-s,1000,4,10000,2000,3,par_filter,2,1,16,0.8889
deep-s,1000,4,10000,2000,3,par_filter,3,1,16,0.8820
deep-s,1000,4,10000,2000,3,par_filter,4,1,16,0.8827
deep-m,10000,8,200000,20000,3,nelson_simple_inline,0,1,16,32.3155
deep-m,10000,8,200000,20000,3,nelson_simple_inline,1,1,16,31.7728
deep-m,10000,8,200000,20000,3,nelson_simple_inline,2,1,16,31.5968
deep-m,10000,8,200000,20000,3,nelson_simple_inline,3,1,16,31.5406
