[synthetic_bench] cube n=180 d=2 classes=23328358 merges=180 ...
[pe] round=  0 work=      360 frontier= 11664000 next=  5832000 consolidate= 12.516ms frontier= 23.615ms semisort= 72.463ms (keyed=18.981ms group_by=  3.569ms per_group=19.897ms)
[pe] round=  1 work=  5832000 frontier=  7469696 next=  2097152 consolidate= 64.123ms frontier= 17.030ms semisort= 51.975ms (keyed=20.870ms group_by=  2.126ms per_group= 7.596ms)
[pe] round=  2 work=  2097152 frontier=  4194304 next=  1637696 consolidate= 25.950ms frontier=  9.994ms semisort= 28.889ms (keyed= 6.775ms group_by=  0.346ms per_group= 6.543ms)
[pe] round=  3 work=  1637696 frontier=  2097152 next=  1048576 consolidate= 23.995ms frontier=  7.570ms semisort= 13.943ms (keyed= 3.131ms group_by=  0.191ms per_group= 4.652ms)
[pe] round=  4 work=  1048576 frontier=  1048576 next=   524288 consolidate= 14.919ms frontier=  5.470ms semisort=  7.960ms (keyed= 1.131ms group_by=  0.110ms per_group= 3.610ms)
[pe] round=  5 work=   524288 frontier=   524288 next=   262144 consolidate=  9.951ms frontier=  3.868ms semisort=  4.001ms (keyed= 0.714ms group_by=  0.098ms per_group= 1.452ms)
[pe] round=  6 work=   262144 frontier=   262144 next=   131072 consolidate=  4.729ms frontier=  1.998ms semisort=  2.106ms (keyed= 0.461ms group_by=  0.087ms per_group= 0.517ms)
[pe] round=  7 work=   131072 frontier=   262144 next=    65536 consolidate=  2.557ms frontier=  0.527ms semisort=  1.798ms (keyed= 0.468ms group_by=  0.109ms per_group= 0.478ms)
[pe] round=  8 work=    65536 frontier=   131072 next=    32768 consolidate=  1.490ms frontier=  0.400ms semisort=  1.780ms (keyed= 0.055ms group_by=  0.761ms per_group= 0.475ms)
[pe] round=  9 work=    32768 frontier=    65536 next=    16384 consolidate=  0.965ms frontier=  0.271ms semisort=  1.132ms (keyed= 0.032ms group_by=  0.518ms per_group= 0.248ms)
[pe] round= 10 work=    16384 frontier=    32768 next=     8192 consolidate=  0.615ms frontier=  0.220ms semisort=  0.806ms (keyed= 0.034ms group_by=  0.345ms per_group= 0.185ms)
[pe] round= 11 work=     8192 frontier=    16384 next=     4096 consolidate=  1.601ms frontier=  0.276ms semisort=  0.570ms (keyed= 0.025ms group_by=  0.197ms per_group= 0.142ms)
[pe] round= 12 work=     4096 frontier=     8192 next=     2048 consolidate=  0.772ms frontier=  0.164ms semisort=  0.866ms (keyed= 0.028ms group_by=  0.577ms per_group= 0.105ms)
[pe] round= 13 work=     2048 frontier=     4096 next=     1024 consolidate=  0.389ms frontier=  0.112ms semisort=  0.529ms (keyed= 0.012ms group_by=  0.293ms per_group= 0.076ms)
[pe] round= 14 work=     1024 frontier=     2048 next=      512 consolidate=  0.279ms frontier=  0.070ms semisort=  0.271ms (keyed= 0.011ms group_by=  0.101ms per_group= 0.068ms)
[pe] round= 15 work=      512 frontier=     1024 next=      256 consolidate=  0.153ms frontier=  0.057ms semisort=  0.233ms (keyed= 0.004ms group_by=  0.056ms per_group= 0.063ms)
[pe] round= 16 work=      256 frontier=      512 next=      128 consolidate=  0.101ms frontier=  0.023ms semisort=  0.135ms (keyed= 0.002ms group_by=  0.036ms per_group= 0.032ms)
[pe] round= 17 work=      128 frontier=      256 next=       64 consolidate=  0.068ms frontier=  0.011ms semisort=  0.111ms (keyed= 0.001ms group_by=  0.018ms per_group= 0.045ms)
[pe] round= 18 work=       64 frontier=      128 next=       32 consolidate=  0.045ms frontier=  0.007ms semisort=  0.059ms (keyed= 0.001ms group_by=  0.009ms per_group= 0.029ms)
[pe] round= 19 work=       32 frontier=       64 next=       16 consolidate=  0.042ms frontier=  0.004ms semisort=  0.032ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.015ms)
[pe] round= 20 work=       16 frontier=       32 next=        8 consolidate=  0.029ms frontier=  0.003ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.004ms)
[pe] round= 21 work=        8 frontier=       16 next=        4 consolidate=  0.014ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 22 work=        4 frontier=        8 next=        2 consolidate=  0.005ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 23 work=        2 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 24 work=        1 (tail-skip: all parents empty)
[pe] round=  0 work=      360 frontier= 11664000 next=  5832000 consolidate=  0.931ms frontier=  6.712ms semisort= 56.603ms (keyed=16.484ms group_by=  0.544ms per_group=16.783ms)
[pe] round=  1 work=  5832000 frontier=  7469696 next=  2097152 consolidate= 54.450ms frontier= 12.880ms semisort= 40.648ms (keyed=14.763ms group_by=  0.652ms per_group= 8.097ms)
[pe] round=  2 work=  2097152 frontier=  4194304 next=  1637696 consolidate= 26.437ms frontier=  9.515ms semisort= 24.572ms (keyed= 6.815ms group_by=  0.340ms per_group= 6.491ms)
[pe] round=  3 work=  1637696 frontier=  2097152 next=  1048576 consolidate= 26.414ms frontier=  6.779ms semisort= 16.054ms (keyed= 3.830ms group_by=  0.203ms per_group= 5.267ms)
