[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s163-ands-opt.gates ...
  literals=5133510  NOT=2412539  gates=6042399  total_classes=13588448  read=0.077s parse=0.065s build=0.233s
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 97.522ms frontier= 15.890ms semisort= 39.132ms (keyed=18.020ms group_by=  0.983ms per_group= 2.560ms)
[pe] round=  1 work=    15676 frontier=   140514 next=    15213 consolidate=  0.767ms frontier=  0.265ms semisort=  2.849ms (keyed= 0.069ms group_by=  1.543ms per_group= 0.350ms)
[pe] round=  2 work=    15213 frontier=    79174 next=     1028 consolidate=  0.645ms frontier=  0.204ms semisort=  2.358ms (keyed= 0.057ms group_by=  1.776ms per_group= 0.212ms)
[pe] round=  3 work=     1028 frontier=    21790 next=      729 consolidate=  0.273ms frontier=  0.076ms semisort=  0.732ms (keyed= 0.031ms group_by=  0.349ms per_group= 0.199ms)
[pe] round=  4 work=      729 frontier=    11103 next=     1581 consolidate=  0.202ms frontier=  0.047ms semisort=  0.458ms (keyed= 0.021ms group_by=  0.187ms per_group= 0.119ms)
[pe] round=  5 work=     1581 frontier=     8676 next=     1320 consolidate=  0.344ms frontier=  0.069ms semisort=  0.799ms (keyed= 0.023ms group_by=  0.553ms per_group= 0.092ms)
[pe] round=  6 work=     1320 frontier=     2863 next=      110 consolidate=  0.319ms frontier=  0.067ms semisort=  0.296ms (keyed= 0.013ms group_by=  0.150ms per_group= 0.056ms)
[pe] round=  7 work=      110 frontier=      579 next=       71 consolidate=  0.044ms frontier=  0.008ms semisort=  0.111ms (keyed= 0.003ms group_by=  0.035ms per_group= 0.037ms)
[pe] round=  8 work=       71 frontier=     1350 next=       36 consolidate=  0.038ms frontier=  0.007ms semisort=  0.152ms (keyed= 0.005ms group_by=  0.070ms per_group= 0.038ms)
[pe] round=  9 work=       36 frontier=      706 next=       14 consolidate=  0.032ms frontier=  0.005ms semisort=  0.112ms (keyed= 0.003ms group_by=  0.041ms per_group= 0.021ms)
[pe] round= 10 work=       14 frontier=       57 next=       13 consolidate=  0.013ms frontier=  0.002ms semisort=  0.026ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.008ms)
[pe] round= 11 work=       13 frontier=       54 next=       11 consolidate=  0.018ms frontier=  0.002ms semisort=  0.021ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.010ms)
[pe] round= 12 work=       11 frontier=       41 next=       10 consolidate=  0.013ms frontier=  0.002ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.004ms)
[pe] round= 13 work=       10 frontier=       39 next=        9 consolidate=  0.013ms frontier=  0.002ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.005ms)
[pe] round= 14 work=        9 frontier=       26 next=        6 consolidate=  0.013ms frontier=  0.002ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 15 work=        6 frontier=       17 next=        3 consolidate=  0.014ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 16 work=        3 frontier=        8 next=        2 consolidate=  0.006ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 17 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 18 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 19 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 22 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 25 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 26 work=        1 frontier=        2 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 27 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 28 work=        1 frontier=        2 next=        0 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 77.448ms frontier= 13.635ms semisort= 29.130ms (keyed= 8.251ms group_by=  0.722ms per_group= 2.587ms)
