[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s163-ands-opt.gates ...
  literals=5133510  NOT=2412539  gates=6042399  total_classes=13588448  read=0.076s parse=0.069s build=0.234s
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 83.059ms frontier= 15.980ms semisort= 32.543ms (keyed=16.231ms group_by=  0.937ms per_group= 2.535ms)
[pe] round=  1 work=    15676 frontier=   140514 next=    15213 consolidate=  0.965ms frontier=  0.290ms semisort=  2.628ms (keyed= 0.090ms group_by=  1.646ms per_group= 0.315ms)
[pe] round=  2 work=    15213 frontier=    79174 next=     1028 consolidate=  0.662ms frontier=  0.231ms semisort=  1.884ms (keyed= 0.075ms group_by=  1.193ms per_group= 0.240ms)
[pe] round=  3 work=     1028 frontier=    21790 next=      729 consolidate=  0.258ms frontier=  0.073ms semisort=  0.824ms (keyed= 0.031ms group_by=  0.388ms per_group= 0.237ms)
[pe] round=  4 work=      729 frontier=    11103 next=     1581 consolidate=  0.182ms frontier=  0.064ms semisort=  0.563ms (keyed= 0.019ms group_by=  0.265ms per_group= 0.128ms)
[pe] round=  5 work=     1581 frontier=     8676 next=     1320 consolidate=  0.358ms frontier=  0.078ms semisort=  0.916ms (keyed= 0.021ms group_by=  0.622ms per_group= 0.139ms)
[pe] round=  6 work=     1320 frontier=     2863 next=      110 consolidate=  0.308ms frontier=  0.072ms semisort=  0.296ms (keyed= 0.013ms group_by=  0.146ms per_group= 0.056ms)
[pe] round=  7 work=      110 frontier=      579 next=       71 consolidate=  0.050ms frontier=  0.010ms semisort=  0.134ms (keyed= 0.003ms group_by=  0.040ms per_group= 0.044ms)
[pe] round=  8 work=       71 frontier=     1350 next=       36 consolidate=  0.045ms frontier=  0.007ms semisort=  0.162ms (keyed= 0.004ms group_by=  0.054ms per_group= 0.057ms)
[pe] round=  9 work=       36 frontier=      706 next=       14 consolidate=  0.035ms frontier=  0.005ms semisort=  0.099ms (keyed= 0.003ms group_by=  0.032ms per_group= 0.027ms)
[pe] round= 10 work=       14 frontier=       57 next=       13 consolidate=  0.017ms frontier=  0.003ms semisort=  0.025ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.008ms)
[pe] round= 11 work=       13 frontier=       54 next=       11 consolidate=  0.014ms frontier=  0.002ms semisort=  0.026ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.013ms)
[pe] round= 12 work=       11 frontier=       41 next=       10 consolidate=  0.016ms frontier=  0.002ms semisort=  0.015ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.006ms)
[pe] round= 13 work=       10 frontier=       39 next=        9 consolidate=  0.015ms frontier=  0.002ms semisort=  0.013ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.005ms)
[pe] round= 14 work=        9 frontier=       26 next=        6 consolidate=  0.011ms frontier=  0.002ms semisort=  0.008ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 15 work=        6 frontier=       17 next=        3 consolidate=  0.016ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 16 work=        3 frontier=        8 next=        2 consolidate=  0.006ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 17 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 18 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 19 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
