[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-xits-opt.gates ...
  literals=3211512  NOT=1061874  gates=4390625  total_classes=8664011  read=0.053s parse=0.042s build=0.135s
[pe] round=  0 work=  8509525 frontier=  5063084 next=    59086 consolidate=104.590ms frontier= 17.070ms semisort= 32.877ms (keyed= 6.876ms group_by=  0.884ms per_group= 3.314ms)
[pe] round=  1 work=    59086 frontier=   551494 next=    13151 consolidate=  3.440ms frontier=  2.641ms semisort=  4.585ms (keyed= 1.206ms group_by=  0.128ms per_group= 0.855ms)
[pe] round=  2 work=    13151 frontier=   120430 next=    10937 consolidate=  0.747ms frontier=  0.136ms semisort=  2.811ms (keyed= 0.360ms group_by=  1.424ms per_group= 0.380ms)
[pe] round=  3 work=    10937 frontier=    64865 next=     7757 consolidate=  0.710ms frontier=  0.117ms semisort=  1.391ms (keyed= 0.033ms group_by=  0.708ms per_group= 0.264ms)
[pe] round=  4 work=     7757 frontier=    25747 next=     3790 consolidate=  1.245ms frontier=  0.226ms semisort=  0.658ms (keyed= 0.012ms group_by=  0.233ms per_group= 0.161ms)
[pe] round=  5 work=     3790 frontier=    12633 next=     1812 consolidate=  0.563ms frontier=  0.111ms semisort=  0.364ms (keyed= 0.011ms group_by=  0.088ms per_group= 0.105ms)
[pe] round=  6 work=     1812 frontier=     6864 next=      994 consolidate=  0.351ms frontier=  0.078ms semisort=  0.630ms (keyed= 0.010ms group_by=  0.449ms per_group= 0.072ms)
[pe] round=  7 work=      994 frontier=     3763 next=      546 consolidate=  0.242ms frontier=  0.063ms semisort=  0.369ms (keyed= 0.010ms group_by=  0.210ms per_group= 0.062ms)
[pe] round=  8 work=      546 frontier=     2568 next=      361 consolidate=  0.126ms frontier=  0.027ms semisort=  0.374ms (keyed= 0.005ms group_by=  0.179ms per_group= 0.087ms)
[pe] round=  9 work=      361 frontier=     1974 next=      271 consolidate=  0.123ms frontier=  0.017ms semisort=  0.259ms (keyed= 0.005ms group_by=  0.089ms per_group= 0.074ms)
[pe] round= 10 work=      271 frontier=      934 next=      119 consolidate=  0.079ms frontier=  0.014ms semisort=  0.144ms (keyed= 0.002ms group_by=  0.050ms per_group= 0.038ms)
[pe] round= 11 work=      119 frontier=      539 next=       96 consolidate=  0.066ms frontier=  0.006ms semisort=  0.090ms (keyed= 0.002ms group_by=  0.029ms per_group= 0.030ms)
[pe] round= 12 work=       96 frontier=      455 next=       75 consolidate=  0.038ms frontier=  0.006ms semisort=  0.077ms (keyed= 0.002ms group_by=  0.020ms per_group= 0.029ms)
[pe] round= 13 work=       75 frontier=      522 next=       87 consolidate=  0.031ms frontier=  0.005ms semisort=  0.093ms (keyed= 0.002ms group_by=  0.028ms per_group= 0.031ms)
[pe] round= 14 work=       87 frontier=      349 next=       67 consolidate=  0.043ms frontier=  0.006ms semisort=  0.066ms (keyed= 0.001ms group_by=  0.016ms per_group= 0.026ms)
[pe] round= 15 work=       67 frontier=      315 next=       56 consolidate=  0.040ms frontier=  0.005ms semisort=  0.055ms (keyed= 0.001ms group_by=  0.014ms per_group= 0.020ms)
[pe] round= 16 work=       56 frontier=      294 next=       48 consolidate=  0.022ms frontier=  0.005ms semisort=  0.046ms (keyed= 0.001ms group_by=  0.010ms per_group= 0.016ms)
[pe] round= 17 work=       48 frontier=      546 next=      104 consolidate=  0.030ms frontier=  0.004ms semisort=  0.070ms (keyed= 0.002ms group_by=  0.020ms per_group= 0.020ms)
[pe] round= 18 work=      104 frontier=     1028 next=       86 consolidate=  0.035ms frontier=  0.007ms semisort=  0.119ms (keyed= 0.003ms group_by=  0.047ms per_group= 0.037ms)
