workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,dnc_cutoff,wallclock_ms
XL,50000,16,2000000,200000,3,nelson_simple_inline,0,1,16,527.3364
XL,50000,16,2000000,200000,3,nelson_simple_inline,1,1,16,523.8754
XL,50000,16,2000000,200000,3,nelson_simple_inline,2,1,16,523.8303
XL,50000,16,2000000,200000,3,nelson_simple_inline,3,1,16,524.2127
XL,50000,16,2000000,200000,3,nelson_simple_inline,4,1,16,517.1621
2XL,50000,16,4000000,400000,3,nelson_simple_inline,0,1,16,1206.0785
2XL,50000,16,4000000,400000,3,nelson_simple_inline,1,1,16,1192.5797
2XL,50000,16,4000000,400000,3,nelson_simple_inline,2,1,16,1197.4888
2XL,50000,16,4000000,400000,3,nelson_simple_inline,3,1,16,1201.8113
2XL,50000,16,4000000,400000,3,nelson_simple_inline,4,1,16,1198.2570
4XL,50000,16,8000000,800000,3,nelson_simple_inline,0,1,16,2697.7570
4XL,50000,16,8000000,800000,3,nelson_simple_inline,1,1,16,2682.0082
4XL,50000,16,8000000,800000,3,nelson_simple_inline,2,1,16,2670.8286
4XL,50000,16,8000000,800000,3,nelson_simple_inline,3,1,16,2667.1663
4XL,50000,16,8000000,800000,3,nelson_simple_inline,4,1,16,2669.8205
8XL,50000,16,16000000,1600000,3,nelson_simple_inline,0,1,16,5790.0138
8XL,50000,16,16000000,1600000,3,nelson_simple_inline,1,1,16,5812.9951
8XL,50000,16,16000000,1600000,3,nelson_simple_inline,2,1,16,5839.6310
8XL,50000,16,16000000,1600000,3,nelson_simple_inline,3,1,16,5802.1871
8XL,50000,16,16000000,1600000,3,nelson_simple_inline,4,1,16,5802.0077
16XL,50000,16,32000000,3200000,3,nelson_simple_inline,0,1,16,12770.6454
16XL,50000,16,32000000,3200000,3,nelson_simple_inline,1,1,16,12806.9696
16XL,50000,16,32000000,3200000,3,nelson_simple_inline,2,1,16,12762.0367
16XL,50000,16,32000000,3200000,3,nelson_simple_inline,3,1,16,12780.4655
16XL,50000,16,32000000,3200000,3,nelson_simple_inline,4,1,16,12759.2827
32XL,50000,16,64000000,6400000,3,nelson_simple_inline,0,1,16,28761.7585
32XL,50000,16,64000000,6400000,3,nelson_simple_inline,1,1,16,28881.6645
32XL,50000,16,64000000,6400000,3,nelson_simple_inline,2,1,16,28871.3042
32XL,50000,16,64000000,6400000,3,nelson_simple_inline,3,1,16,28793.2214
32XL,50000,16,64000000,6400000,3,nelson_simple_inline,4,1,16,28863.4804
