file,suite,n_gates,n_literals,n_not_terms,total_classes,algorithm,trial,parlay_threads,read_s,parse_s,build_s,close_ms
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,nelson_simple_inline,0,1,0.205368,0.165442,0.313533,365.0358
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,nelson_simple_inline,1,1,0.205368,0.165442,0.313533,359.5229
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,nelson_simple_inline,2,1,0.205368,0.165442,0.313533,359.7584
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,nelson_simple_inline,3,1,0.205368,0.165442,0.313533,359.9925
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,nelson_simple_inline,4,1,0.205368,0.165442,0.313533,359.4903
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,nelson_simple_inline,0,1,0.139000,0.112534,0.208121,214.8602
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,nelson_simple_inline,1,1,0.139000,0.112534,0.208121,212.2915
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,nelson_simple_inline,2,1,0.139000,0.112534,0.208121,209.4370
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,nelson_simple_inline,3,1,0.139000,0.112534,0.208121,205.8398
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,nelson_simple_inline,4,1,0.139000,0.112534,0.208121,207.0436
h5m-n04-ands.gates,iwls22_with_not,1782230,1246980,573992,3603202,nelson_simple_inline,0,1,0.221006,0.161191,0.333480,429.6771
h5m-n04-ands.gates,iwls22_with_not,1782230,1246980,573992,3603202,nelson_simple_inline,1,1,0.221006,0.161191,0.333480,428.9029
h5m-n04-ands.gates,iwls22_with_not,1782230,1246980,573992,3603202,nelson_simple_inline,2,1,0.221006,0.161191,0.333480,425.6995
h5m-n04-ands.gates,iwls22_with_not,1782230,1246980,573992,3603202,nelson_simple_inline,3,1,0.221006,0.161191,0.333480,424.6940
h5m-n04-ands.gates,iwls22_with_not,1782230,1246980,573992,3603202,nelson_simple_inline,4,1,0.221006,0.161191,0.333480,423.8747
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,nelson_simple_inline,0,1,0.160675,0.121369,0.208587,248.0266
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,nelson_simple_inline,1,1,0.160675,0.121369,0.208587,245.2219
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,nelson_simple_inline,2,1,0.160675,0.121369,0.208587,239.3628
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,nelson_simple_inline,3,1,0.160675,0.121369,0.208587,237.4248
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,nelson_simple_inline,4,1,0.160675,0.121369,0.208587,237.5844
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,nelson_simple_inline,0,1,0.617908,0.505198,0.949367,1226.6787
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,nelson_simple_inline,1,1,0.617908,0.505198,0.949367,1223.0450
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,nelson_simple_inline,2,1,0.617908,0.505198,0.949367,1244.4786
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,nelson_simple_inline,3,1,0.617908,0.505198,0.949367,1213.1505
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,nelson_simple_inline,4,1,0.617908,0.505198,0.949367,1218.4605
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,nelson_simple_inline,0,1,0.405444,0.319524,0.595439,753.6914
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,nelson_simple_inline,1,1,0.405444,0.319524,0.595439,744.5684
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,nelson_simple_inline,2,1,0.405444,0.319524,0.595439,751.3146
