workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,dnc_cutoff,wallclock_ms
small,1000,4,10000,2000,1,nelson_topo_iter,0,1,16,1.9093
small,1000,4,10000,2000,1,par_async,0,1,16,1.7050
medium,10000,8,200000,20000,1,nelson_topo_iter,0,1,16,42.1087
medium,10000,8,200000,20000,1,par_async,0,1,16,35.6680
large,50000,16,1000000,100000,1,nelson_topo_iter,0,1,16,328.3330
large,50000,16,1000000,100000,1,par_async,0,1,16,175.6737
deep-s,1000,4,10000,2000,3,nelson_topo_iter,0,1,16,1.7591
deep-s,1000,4,10000,2000,3,par_async,0,1,16,1.6198
deep-m,10000,8,200000,20000,3,nelson_topo_iter,0,1,16,44.7882
deep-m,10000,8,200000,20000,3,par_async,0,1,16,45.5800
deep-l,50000,16,1000000,100000,3,nelson_topo_iter,0,1,16,421.7205
deep-l,50000,16,1000000,100000,3,par_async,0,1,16,267.6708
small,1000,4,10000,2000,1,par_async,0,2,16,2.4993
medium,10000,8,200000,20000,1,par_async,0,2,16,25.0510
large,50000,16,1000000,100000,1,par_async,0,2,16,130.4629
deep-s,1000,4,10000,2000,3,par_async,0,2,16,2.1497
deep-m,10000,8,200000,20000,3,par_async,0,2,16,34.2785
deep-l,50000,16,1000000,100000,3,par_async,0,2,16,176.9826
small,1000,4,10000,2000,1,par_async,0,4,16,2.3312
medium,10000,8,200000,20000,1,par_async,0,4,16,17.4442
large,50000,16,1000000,100000,1,par_async,0,4,16,78.0095
deep-s,1000,4,10000,2000,3,par_async,0,4,16,2.2282
deep-m,10000,8,200000,20000,3,par_async,0,4,16,27.8907
deep-l,50000,16,1000000,100000,3,par_async,0,4,16,118.5029
small,1000,4,10000,2000,1,par_async,0,8,16,2.2159
medium,10000,8,200000,20000,1,par_async,0,8,16,14.3426
large,50000,16,1000000,100000,1,par_async,0,8,16,48.1237
deep-s,1000,4,10000,2000,3,par_async,0,8,16,2.2065
deep-m,10000,8,200000,20000,3,par_async,0,8,16,18.2635
deep-l,50000,16,1000000,100000,3,par_async,0,8,16,72.7254
small,1000,4,10000,2000,1,par_async,0,16,16,2.1200
medium,10000,8,200000,20000,1,par_async,0,16,16,17.3242
large,50000,16,1000000,100000,1,par_async,0,16,16,34.7085
deep-s,1000,4,10000,2000,3,par_async,0,16,16,2.1118
deep-m,10000,8,200000,20000,3,par_async,0,16,16,12.6008
deep-l,50000,16,1000000,100000,3,par_async,0,16,16,49.9756
small,1000,4,10000,2000,1,par_async,0,32,16,2.5715
medium,10000,8,200000,20000,1,par_async,0,32,16,17.5065
large,50000,16,1000000,100000,1,par_async,0,32,16,40.3558
deep-s,1000,4,10000,2000,3,par_async,0,32,16,1.9532
deep-m,10000,8,200000,20000,3,par_async,0,32,16,9.1927
deep-l,50000,16,1000000,100000,3,par_async,0,32,16,36.3287
small,1000,4,10000,2000,1,par_async,0,64,16,3.9582
medium,10000,8,200000,20000,1,par_async,0,64,16,29.4774
large,50000,16,1000000,100000,1,par_async,0,64,16,58.4646
deep-s,1000,4,10000,2000,3,par_async,0,64,16,1.8567
deep-m,10000,8,200000,20000,3,par_async,0,64,16,8.4496
deep-l,50000,16,1000000,100000,3,par_async,0,64,16,39.5064
small,1000,4,10000,2000,1,par_async,0,128,16,12.0536
medium,10000,8,200000,20000,1,par_async,0,128,16,91.8573
large,50000,16,1000000,100000,1,par_async,0,128,16,122.0532
deep-s,1000,4,10000,2000,3,par_async,0,128,16,2.0028
deep-m,10000,8,200000,20000,3,par_async,0,128,16,9.7143
deep-l,50000,16,1000000,100000,3,par_async,0,128,16,38.3690
