workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,dnc_cutoff,wallclock_ms
small,1000,4,10000,2000,1,nelson_simple,0,1,16,0.6208
small,1000,4,10000,2000,1,nelson_simple,1,1,16,0.6251
small,1000,4,10000,2000,1,nelson_simple,2,1,16,0.6449
small,1000,4,10000,2000,1,nelson_simple,3,1,16,0.6087
small,1000,4,10000,2000,1,nelson_simple,4,1,16,0.6215
small,1000,4,10000,2000,1,par_close,0,1,16,1.9101
small,1000,4,10000,2000,1,par_close,1,1,16,1.8755
small,1000,4,10000,2000,1,par_close,2,1,16,1.8728
small,1000,4,10000,2000,1,par_close,3,1,16,1.8754
small,1000,4,10000,2000,1,par_close,4,1,16,1.8757
small,1000,4,10000,2000,1,par_async,0,1,16,0.8232
small,1000,4,10000,2000,1,par_async,1,1,16,0.8129
small,1000,4,10000,2000,1,par_async,2,1,16,0.8092
small,1000,4,10000,2000,1,par_async,3,1,16,0.8043
small,1000,4,10000,2000,1,par_async,4,1,16,0.8039
medium,10000,8,200000,20000,1,nelson_simple,0,1,16,21.3129
medium,10000,8,200000,20000,1,nelson_simple,1,1,16,20.2533
medium,10000,8,200000,20000,1,nelson_simple,2,1,16,20.1914
medium,10000,8,200000,20000,1,nelson_simple,3,1,16,20.4160
medium,10000,8,200000,20000,1,nelson_simple,4,1,16,20.3710
medium,10000,8,200000,20000,1,par_close,0,1,16,46.5830
medium,10000,8,200000,20000,1,par_close,1,1,16,46.5967
medium,10000,8,200000,20000,1,par_close,2,1,16,46.5136
medium,10000,8,200000,20000,1,par_close,3,1,16,46.5555
medium,10000,8,200000,20000,1,par_close,4,1,16,46.8376
medium,10000,8,200000,20000,1,par_async,0,1,16,17.4854
medium,10000,8,200000,20000,1,par_async,1,1,16,17.4682
medium,10000,8,200000,20000,1,par_async,2,1,16,17.5037
medium,10000,8,200000,20000,1,par_async,3,1,16,17.4660
medium,10000,8,200000,20000,1,par_async,4,1,16,17.4461
large,50000,16,1000000,100000,1,nelson_simple,0,1,16,130.7540
large,50000,16,1000000,100000,1,nelson_simple,1,1,16,124.6893
large,50000,16,1000000,100000,1,nelson_simple,2,1,16,122.7275
large,50000,16,1000000,100000,1,nelson_simple,3,1,16,122.0694
large,50000,16,1000000,100000,1,nelson_simple,4,1,16,121.1974
large,50000,16,1000000,100000,1,par_close,0,1,16,209.7480
large,50000,16,1000000,100000,1,par_close,1,1,16,209.1368
large,50000,16,1000000,100000,1,par_close,2,1,16,209.9457
large,50000,16,1000000,100000,1,par_close,3,1,16,208.8996
large,50000,16,1000000,100000,1,par_close,4,1,16,209.8109
large,50000,16,1000000,100000,1,par_async,0,1,16,99.3269
large,50000,16,1000000,100000,1,par_async,1,1,16,99.1965
large,50000,16,1000000,100000,1,par_async,2,1,16,99.0749
large,50000,16,1000000,100000,1,par_async,3,1,16,99.1888
large,50000,16,1000000,100000,1,par_async,4,1,16,99.2464
deep-s,1000,4,10000,2000,3,nelson_simple,0,1,16,0.9367
deep-s,1000,4,10000,2000,3,nelson_simple,1,1,16,0.9151
deep-s,1000,4,10000,2000,3,nelson_simple,2,1,16,0.8971
deep-s,1000,4,10000,2000,3,nelson_simple,3,1,16,0.8988
deep-s,1000,4,10000,2000,3,nelson_simple,4,1,16,0.8942
deep-s,1000,4,10000,2000,3,par_close,0,1,16,2.0444
deep-s,1000,4,10000,2000,3,par_close,1,1,16,2.0228
deep-s,1000,4,10000,2000,3,par_close,2,1,16,2.0128
deep-s,1000,4,10000,2000,3,par_close,3,1,16,2.0144
deep-s,1000,4,10000,2000,3,par_close,4,1,16,2.0101
deep-s,1000,4,10000,2000,3,par_async,0,1,16,0.9338
deep-s,1000,4,10000,2000,3,par_async,1,1,16,0.9288
deep-s,1000,4,10000,2000,3,par_async,2,1,16,0.9244
deep-s,1000,4,10000,2000,3,par_async,3,1,16,0.9275
deep-s,1000,4,10000,2000,3,par_async,4,1,16,0.9170
deep-m,10000,8,200000,20000,3,nelson_simple,0,1,16,36.9069
deep-m,10000,8,200000,20000,3,nelson_simple,1,1,16,36.5694
deep-m,10000,8,200000,20000,3,nelson_simple,2,1,16,36.4901
deep-m,10000,8,200000,20000,3,nelson_simple,3,1,16,36.3587
deep-m,10000,8,200000,20000,3,nelson_simple,4,1,16,36.3864
deep-m,10000,8,200000,20000,3,par_close,0,1,16,51.1987
deep-m,10000,8,200000,20000,3,par_close,1,1,16,52.6722
deep-m,10000,8,200000,20000,3,par_close,2,1,16,52.8396
deep-m,10000,8,200000,20000,3,par_close,3,1,16,53.0950
deep-m,10000,8,200000,20000,3,par_close,4,1,16,53.2540
deep-m,10000,8,200000,20000,3,par_async,0,1,16,25.1537
deep-m,10000,8,200000,20000,3,par_async,1,1,16,25.1526
deep-m,10000,8,200000,20000,3,par_async,2,1,16,25.1831
deep-m,10000,8,200000,20000,3,par_async,3,1,16,25.1810
deep-m,10000,8,200000,20000,3,par_async,4,1,16,25.2123
deep-l,50000,16,1000000,100000,3,nelson_simple,0,1,16,242.0225
deep-l,50000,16,1000000,100000,3,nelson_simple,1,1,16,224.4659
deep-l,50000,16,1000000,100000,3,nelson_simple,2,1,16,225.9896
deep-l,50000,16,1000000,100000,3,nelson_simple,3,1,16,223.7169
deep-l,50000,16,1000000,100000,3,nelson_simple,4,1,16,221.9159
deep-l,50000,16,1000000,100000,3,par_close,0,1,16,248.1267
deep-l,50000,16,1000000,100000,3,par_close,1,1,16,252.5906
deep-l,50000,16,1000000,100000,3,par_close,2,1,16,252.9540
deep-l,50000,16,1000000,100000,3,par_close,3,1,16,253.4016
deep-l,50000,16,1000000,100000,3,par_close,4,1,16,253.4966
deep-l,50000,16,1000000,100000,3,par_async,0,1,16,165.4640
deep-l,50000,16,1000000,100000,3,par_async,1,1,16,165.3640
deep-l,50000,16,1000000,100000,3,par_async,2,1,16,164.9235
deep-l,50000,16,1000000,100000,3,par_async,3,1,16,165.0727
deep-l,50000,16,1000000,100000,3,par_async,4,1,16,165.8985
small,1000,4,10000,2000,1,par_close,0,2,16,2.5598
small,1000,4,10000,2000,1,par_close,1,2,16,2.6456
small,1000,4,10000,2000,1,par_close,2,2,16,2.3650
small,1000,4,10000,2000,1,par_close,3,2,16,2.2685
small,1000,4,10000,2000,1,par_close,4,2,16,2.5112
small,1000,4,10000,2000,1,par_async,0,2,16,0.9399
small,1000,4,10000,2000,1,par_async,1,2,16,1.1426
small,1000,4,10000,2000,1,par_async,2,2,16,1.0034
small,1000,4,10000,2000,1,par_async,3,2,16,1.0256
small,1000,4,10000,2000,1,par_async,4,2,16,1.1491
medium,10000,8,200000,20000,1,par_close,0,2,16,30.9867
medium,10000,8,200000,20000,1,par_close,1,2,16,30.9168
medium,10000,8,200000,20000,1,par_close,2,2,16,31.1421
medium,10000,8,200000,20000,1,par_close,3,2,16,31.1921
medium,10000,8,200000,20000,1,par_close,4,2,16,30.8956
medium,10000,8,200000,20000,1,par_async,0,2,16,11.2307
medium,10000,8,200000,20000,1,par_async,1,2,16,11.4697
medium,10000,8,200000,20000,1,par_async,2,2,16,11.0953
medium,10000,8,200000,20000,1,par_async,3,2,16,11.3960
medium,10000,8,200000,20000,1,par_async,4,2,16,11.5171
large,50000,16,1000000,100000,1,par_close,0,2,16,120.2742
large,50000,16,1000000,100000,1,par_close,1,2,16,119.4542
large,50000,16,1000000,100000,1,par_close,2,2,16,119.1649
large,50000,16,1000000,100000,1,par_close,3,2,16,119.5350
large,50000,16,1000000,100000,1,par_close,4,2,16,119.7755
large,50000,16,1000000,100000,1,par_async,0,2,16,56.7750
large,50000,16,1000000,100000,1,par_async,1,2,16,56.5026
large,50000,16,1000000,100000,1,par_async,2,2,16,56.7783
large,50000,16,1000000,100000,1,par_async,3,2,16,56.3669
large,50000,16,1000000,100000,1,par_async,4,2,16,56.3493
deep-s,1000,4,10000,2000,3,par_close,0,2,16,2.6134
deep-s,1000,4,10000,2000,3,par_close,1,2,16,3.1041
deep-s,1000,4,10000,2000,3,par_close,2,2,16,2.5724
deep-s,1000,4,10000,2000,3,par_close,3,2,16,2.4923
deep-s,1000,4,10000,2000,3,par_close,4,2,16,2.8089
deep-s,1000,4,10000,2000,3,par_async,0,2,16,1.5271
deep-s,1000,4,10000,2000,3,par_async,1,2,16,1.5183
deep-s,1000,4,10000,2000,3,par_async,2,2,16,1.5438
deep-s,1000,4,10000,2000,3,par_async,3,2,16,1.4371
deep-s,1000,4,10000,2000,3,par_async,4,2,16,1.5110
deep-m,10000,8,200000,20000,3,par_close,0,2,16,38.5635
deep-m,10000,8,200000,20000,3,par_close,1,2,16,39.5902
