file,suite,n_gates,n_literals,n_not_terms,total_classes,algorithm,trial,parlay_threads,read_s,parse_s,build_s,close_ms
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,nelson_simple,0,1,0.019924,0.150748,0.290793,350.3479
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,nelson_simple,1,1,0.019924,0.150748,0.290793,348.4881
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,nelson_simple,2,1,0.019924,0.150748,0.290793,350.4643
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,nelson_simple,3,1,0.019924,0.150748,0.290793,348.0270
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,nelson_simple,4,1,0.019924,0.150748,0.290793,354.7285
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_close,0,1,0.019924,0.150748,0.290793,1453.4870
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_close,1,1,0.019924,0.150748,0.290793,1554.8378
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_close,2,1,0.019924,0.150748,0.290793,1575.5649
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_close,3,1,0.019924,0.150748,0.290793,1609.2824
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_close,4,1,0.019924,0.150748,0.290793,1621.0683
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_async,0,1,0.019924,0.150748,0.290793,282.7736
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_async,1,1,0.019924,0.150748,0.290793,283.1984
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_async,2,1,0.019924,0.150748,0.290793,280.2337
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_async,3,1,0.019924,0.150748,0.290793,281.0070
h5m-n01-ands.gates,iwls22_with_not,1660156,1083431,499915,3243502,par_async,4,1,0.019924,0.150748,0.290793,280.7539
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,nelson_simple,0,1,0.012433,0.107148,0.180715,215.4799
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,nelson_simple,1,1,0.012433,0.107148,0.180715,211.3878
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,nelson_simple,2,1,0.012433,0.107148,0.180715,208.7955
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,nelson_simple,3,1,0.012433,0.107148,0.180715,206.2702
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,nelson_simple,4,1,0.012433,0.107148,0.180715,206.4846
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,par_close,0,1,0.012433,0.107148,0.180715,858.7075
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,par_close,1,1,0.012433,0.107148,0.180715,906.2994
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,par_close,2,1,0.012433,0.107148,0.180715,916.7817
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,par_close,3,1,0.012433,0.107148,0.180715,935.1011
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,par_close,4,1,0.012433,0.107148,0.180715,941.3034
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,par_async,0,1,0.012433,0.107148,0.180715,186.4597
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,par_async,1,1,0.012433,0.107148,0.180715,186.6825
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,par_async,2,1,0.012433,0.107148,0.180715,184.8103
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,par_async,3,1,0.012433,0.107148,0.180715,184.9998
h5m-n01-xits.gates,iwls22_with_not,1105612,613618,249946,1969176,par_async,4,1,0.012433,0.107148,0.180715,185.7844
h5m-n04-ands.gates,iwls22_with_not,1782230,1246980,573992,3603202,nelson_simple,0,1,0.018480,0.165746,0.321135,421.6476
h5m-n04-ands.gates,iwls22_with_not,1782230,1246980,573992,3603202,nelson_simple,1,1,0.018480,0.165746,0.321135,423.3016
h5m-n04-ands.gates,iwls22_with_not,1782230,1246980,573992,3603202,nelson_simple,2,1,0.018480,0.165746,0.321135,424.7910
h5m-n04-ands.gates,iwls22_with_not,1782230,1246980,573992,3603202,nelson_simple,3,1,0.018480,0.165746,0.321135,424.3041
h5m-n04-ands.gates,iwls22_with_not,1782230,1246980,573992,3603202,nelson_simple,4,1,0.018480,0.165746,0.321135,417.9238
h5m-n04-ands.gates,iwls22_with_not,1782230,1246980,573992,3603202,par_close,0,1,0.018480,0.165746,0.321135,1630.6459
