[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s163-ands-opt.gates ...
  literals=5133510  NOT=2412539  gates=6042399  total_classes=13588448  read=0.083s parse=0.143s build=0.323s
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 96.421ms frontier= 17.303ms semisort= 33.997ms (keyed=17.111ms group_by=  0.966ms per_group= 7.359ms)
[pe] round=  1 work=    15676 frontier=   140514 next=    15213 consolidate=  0.714ms frontier=  0.273ms semisort=  4.793ms (keyed= 0.046ms group_by=  3.919ms per_group= 0.322ms)
[pe] round=  2 work=    15213 frontier=    79174 next=     1028 consolidate=  0.604ms frontier=  0.224ms semisort=  3.290ms (keyed= 0.058ms group_by=  2.821ms per_group= 0.182ms)
[pe] round=  3 work=     1028 frontier=    21790 next=      729 consolidate=  0.291ms frontier=  0.075ms semisort=  0.899ms (keyed= 0.021ms group_by=  0.530ms per_group= 0.219ms)
[pe] round=  4 work=      729 frontier=    11103 next=     1581 consolidate=  0.211ms frontier=  0.062ms semisort=  0.595ms (keyed= 0.019ms group_by=  0.285ms per_group= 0.144ms)
[pe] round=  5 work=     1581 frontier=     8676 next=     1320 consolidate=  0.364ms frontier=  0.083ms semisort=  1.544ms (keyed= 0.020ms group_by=  1.291ms per_group= 0.109ms)
[pe] round=  6 work=     1320 frontier=     2863 next=      110 consolidate=  0.290ms frontier=  0.062ms semisort=  0.545ms (keyed= 0.021ms group_by=  0.385ms per_group= 0.064ms)
[pe] round=  7 work=      110 frontier=      579 next=       71 consolidate=  0.058ms frontier=  0.009ms semisort=  0.147ms (keyed= 0.003ms group_by=  0.063ms per_group= 0.043ms)
[pe] round=  8 work=       71 frontier=     1350 next=       36 consolidate=  0.052ms frontier=  0.006ms semisort=  0.218ms (keyed= 0.004ms group_by=  0.101ms per_group= 0.071ms)
[pe] round=  9 work=       36 frontier=      706 next=       14 consolidate=  0.038ms frontier=  0.005ms semisort=  0.108ms (keyed= 0.002ms group_by=  0.048ms per_group= 0.026ms)
[pe] round= 10 work=       14 frontier=       57 next=       13 consolidate=  0.024ms frontier=  0.003ms semisort=  0.023ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.010ms)
[pe] round= 11 work=       13 frontier=       54 next=       11 consolidate=  0.024ms frontier=  0.002ms semisort=  0.014ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 12 work=       11 frontier=       41 next=       10 consolidate=  0.015ms frontier=  0.002ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.004ms)
[pe] round= 13 work=       10 frontier=       39 next=        9 consolidate=  0.015ms frontier=  0.002ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 14 work=        9 frontier=       26 next=        6 consolidate=  0.011ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 15 work=        6 frontier=       17 next=        3 consolidate=  0.011ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
