[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s163-ands-opt.gates ...
  literals=5133510  NOT=2412539  gates=6042399  total_classes=13588448  read=0.081s parse=0.092s build=0.289s
[pe] round=  0 work= 13507445 frontier=  7639846 next=    15676 consolidate= 88.330ms frontier= 16.163ms semisort= 36.441ms (keyed=14.249ms group_by=  1.063ms per_group= 9.116ms)
[pe] round=  1 work=    15676 frontier=   140514 next=    15213 consolidate=  0.757ms frontier=  0.269ms semisort=  4.292ms (keyed= 0.044ms group_by=  2.886ms per_group= 0.376ms)
[pe] round=  2 work=    15213 frontier=    79174 next=     1028 consolidate=  0.665ms frontier=  0.214ms semisort=  4.332ms (keyed= 0.062ms group_by=  3.782ms per_group= 0.218ms)
[pe] round=  3 work=     1028 frontier=    21790 next=      729 consolidate=  0.283ms frontier=  0.073ms semisort=  1.288ms (keyed= 0.020ms group_by=  0.929ms per_group= 0.182ms)
[pe] round=  4 work=      729 frontier=    11103 next=     1581 consolidate=  0.204ms frontier=  0.070ms semisort=  0.526ms (keyed= 0.018ms group_by=  0.252ms per_group= 0.131ms)
[pe] round=  5 work=     1581 frontier=     8676 next=     1320 consolidate=  0.380ms frontier=  0.076ms semisort=  1.627ms (keyed= 0.024ms group_by=  1.356ms per_group= 0.110ms)
[pe] round=  6 work=     1320 frontier=     2863 next=      110 consolidate=  0.315ms frontier=  0.076ms semisort=  0.596ms (keyed= 0.013ms group_by=  0.434ms per_group= 0.075ms)
[pe] round=  7 work=      110 frontier=      579 next=       71 consolidate=  0.061ms frontier=  0.012ms semisort=  0.178ms (keyed= 0.003ms group_by=  0.083ms per_group= 0.047ms)
[pe] round=  8 work=       71 frontier=     1350 next=       36 consolidate=  0.043ms frontier=  0.008ms semisort=  0.262ms (keyed= 0.005ms group_by=  0.156ms per_group= 0.043ms)
[pe] round=  9 work=       36 frontier=      706 next=       14 consolidate=  0.036ms frontier=  0.005ms semisort=  0.132ms (keyed= 0.003ms group_by=  0.069ms per_group= 0.023ms)
[pe] round= 10 work=       14 frontier=       57 next=       13 consolidate=  0.019ms frontier=  0.003ms semisort=  0.017ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.006ms)
[pe] round= 11 work=       13 frontier=       54 next=       11 consolidate=  0.017ms frontier=  0.002ms semisort=  0.024ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.013ms)
[pe] round= 12 work=       11 frontier=       41 next=       10 consolidate=  0.022ms frontier=  0.003ms semisort=  0.016ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.006ms)
[pe] round= 13 work=       10 frontier=       39 next=        9 consolidate=  0.022ms frontier=  0.002ms semisort=  0.012ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.005ms)
[pe] round= 14 work=        9 frontier=       26 next=        6 consolidate=  0.011ms frontier=  0.002ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.003ms)
[pe] round= 15 work=        6 frontier=       17 next=        3 consolidate=  0.010ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 16 work=        3 frontier=        8 next=        2 consolidate=  0.008ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 17 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 18 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 19 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 20 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 21 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 22 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 23 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 24 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 25 work=        1 frontier=        4 next=        1 consolidate=  0.001ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 26 work=        1 frontier=        2 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.001ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round= 27 work=        1 frontier=        4 next=        1 consolidate=  0.002ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
